:198.21, r:5.00, y:8.05, ym:5.00, u:0.00, theta1:15.98, theta2:50.00, e:3.05
t:198.23, r:5.00, y:8.16, ym:5.00, u:0.00, theta1:15.97, theta2:50.00, e:3.16
t:198.25, r:5.00, y:8.25, ym:5.00, u:0.00, theta1:15.95, theta2:50.00, e:3.25
t:198.27, r:5.00, y:8.32, ym:5.00, u:0.00, theta1:15.93, theta2:50.00, e:3.32
t:198.29, r:5.00, y:8.37, ym:5.00, u:0.00, theta1:15.92, theta2:50.00, e:3.37
t:198.31, r:5.00, y:8.42, ym:5.00, u:0.00, theta1:15.90, theta2:50.00, e:3.42
t:198.33, r:5.00, y:8.46, ym:5.00, u:0.00, theta1:15.88, theta2:50.00, e:3.46
t:198.35, r:5.00, y:8.49, ym:5.00, u:0.00, theta1:15.86, theta2:50.00, e:3.49
t:198.37, r:5.00, y:8.51, ym:5.00, u:0.00, theta1:15.85, theta2:50.00, e:3.51
t:198.39, r:5.00, y:8.53, ym:5.00, u:0.00, theta1:15.83, theta2:50.00, e:3.53
t:198.41, r:5.00, y:8.54, ym:5.00, u:0.00, theta1:15.81, theta2:50.00, e:3.54
t:198.43, r:5.00, y:8.55, ym:5.00, u:0.00, theta1:15.79, theta2:50.00, e:3.55
t:198.45, r:5.00, y:8.56, ym:5.00, u:0.00, theta1:15.78, theta2:50.00, e:3.56
t:198.47, r:5.00, y:8.57, ym:5.00, u:0.00, theta1:15.76, theta2:50.00, e:3.57
t:198.49, r:5.00, y:6.86, ym:5.00, u:0.00, theta1:15.75, theta2:50.00, e:1.86
t:198.51, r:5.00, y:5.49, ym:5.00, u:0.00, theta1:15.75, theta2:50.00, e:0.49
t:198.53, r:5.00, y:4.39, ym:5.00, u:0.00, theta1:15.75, theta2:50.00, e:-0.61
t:198.55, r:5.00, y:3.51, ym:5.00, u:0.00, theta1:15.76, theta2:49.99, e:-1.49
t:198.57, r:5.00, y:2.81, ym:5.00, u:0.00, theta1:15.77, theta2:49.99, e:-2.19
t:198.59, r:5.00, y:2.25, ym:5.00, u:0.00, theta1:15.78, theta2:49.98, e:-2.75
t:198.61, r:5.00, y:1.80, ym:5.00, u:0.00, theta1:15.80, theta2:49.97, e:-3.20
t:198.63, r:5.00, y:1.44, ym:5.00, u:7.12, theta1:15.82, theta2:49.97, e:-3.56
t:198.65, r:5.00, y:1.15, ym:5.00, u:21.59, theta1:15.83, theta2:49.96, e:-3.85
t:198.67, r:5.00, y:0.92, ym:5.00, u:33.19, theta1:15.85, theta2:49.96, e:-4.08
t:198.69, r:5.00, y:0.74, ym:5.00, u:42.49, theta1:15.88, theta2:49.96, e:-4.26
t:198.71, r:5.00, y:0.59, ym:5.00, u:49.96, theta1:15.90, theta2:49.95, e:-4.41
t:198.73, r:5.00, y:0.47, ym:5.00, u:55.95, theta1:15.92, theta2:49.95, e:-4.53
t:198.75, r:5.00, y:0.38, ym:5.00, u:60.77, theta1:15.94, theta2:49.95, e:-4.62
t:198.77, r:5.00, y:0.44, ym:5.00, u:57.94, theta1:15.97, theta2:49.95, e:-4.56
t:198.79, r:5.00, y:0.48, ym:5.00, u:55.69, theta1:15.99, theta2:49.95, e:-4.52
t:198.81, r:5.00, y:0.52, ym:5.00, u:53.91, theta1:16.01, theta2:49.94, e:-4.48
t:198.83, r:5.00, y:2.10, ym:5.00, u:0.00, theta1:16.03, theta2:49.94, e:-2.90
t:198.85, r:5.00, y:3.36, ym:5.00, u:0.00, theta1:16.03, theta2:49.93, e:-1.64
t:198.87, r:5.00, y:4.37, ym:5.00, u:0.00, theta1:16.04, theta2:49.93, e:-0.63
t:198.89, r:5.00, y:5.18, ym:5.00, u:0.00, theta1:16.04, theta2:49.93, e:0.18
t:198.91, r:5.00, y:5.82, ym:5.00, u:0.00, theta1:16.03, theta2:49.94, e:0.82
t:198.93, r:5.00, y:6.34, ym:5.00, u:0.00, theta1:16.03, theta2:49.94, e:1.34
t:198.95, r:5.00, y:6.76, ym:5.00, u:0.00, theta1:16.02, theta2:49.96, e:1.76
t:198.97, r:5.00, y:7.09, ym:5.00, u:0.00, theta1:16.01, theta2:49.97, e:2.09
t:198.99, r:5.00, y:7.35, ym:5.00, u:0.00, theta1:15.99, theta2:49.99, e:2.35
t:199.01, r:5.00, y:7.56, ym:5.00, u:0.00, theta1:15.98, theta2:50.00, e:2.56
t:199.03, r:5.00, y:7.73, ym:5.00, u:0.00, theta1:15.97, theta2:50.00, e:2.73
t:199.05, r:5.00, y:7.87, ym:5.00, u:0.00, theta1:15.95, theta2:50.00, e:2.87
t:199.07, r:5.00, y:7.98, ym:5.00, u:0.00, theta1:15.94, theta2:50.00, e:2.98
t:199.09, r:5.00, y:8.06, ym:5.00, u:0.00, theta1:15.92, theta2:50.00, e:3.06
t:199.11, r:5.00, y:8.13, ym:5.00, u:0.00, theta1:15.91, theta2:50.00, e:3.13
t:199.13, r:5.00, y:8.19, ym:5.00, u:0.00, theta1:15.89, theta2:50.00, e:3.19
t:199.15, r:5.00, y:8.23, ym:5.00, u:0.00, theta1:15.88, theta2:50.00, e:3.23
t:199.17, r:5.00, y:8.27, ym:5.00, u:0.00, theta1:15.86, theta2:50.00, e:3.27
t:199.19, r:5.00, y:8.30, ym:5.00, u:0.00, theta1:15.84, theta2:50.00, e:3.30
t:199.21, r:5.00, y:8.32, ym:5.00, u:0.00, theta1:15.83, theta2:50.00, e:3.32
t:199.23, r:5.00, y:8.34, ym:5.00, u:0.00, theta1:15.81, theta2:50.00, e:3.34
t:199.25, r:5.00, y:8.35, ym:5.00, u:0.00, theta1:15.79, theta2:50.00, e:3.35
t:199.27, r:5.00, y:8.36, ym:5.00, u:0.00, theta1:15.78, theta2:50.00, e:3.36
t:199.29, r:5.00, y:8.37, ym:5.00, u:0.00, theta1:15.76, theta2:50.00, e:3.37
t:199.31, r:5.00, y:8.38, ym:5.00, u:0.00, theta1:15.74, theta2:50.00, e:3.38
t:199.33, r:5.00, y:6.70, ym:5.00, u:0.00, theta1:15.73, theta2:50.00, e:1.70
t:199.35, r:5.00, y:5.36, ym:5.00, u:0.00, theta1:15.73, theta2:50.00, e:0.36
t:199.37, r:5.00, y:4.29, ym:5.00, u:0.00, theta1:15.74, theta2:50.00, e:-0.71
t:199.39, r:5.00, y:3.43, ym:5.00, u:0.00, theta1:15.74, theta2:49.99, e:-1.57
t:199.41, r:5.00, y:2.75, ym:5.00, u:0.00, theta1:15.76, theta2:49.99, e:-2.25
t:199.43, r:5.00, y:2.20, ym:5.00, u:0.00, theta1:15.77, theta2:49.98, e:-2.80
t:199.45, r:5.00, y:1.76, ym:5.00, u:0.00, theta1:15.79, theta2:49.97, e:-3.24
t:199.47, r:5.00, y:1.41, ym:5.00, u:8.67, theta1:15.80, theta2:49.97, e:-3.59
