t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
8889207,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
8898999,0.10,0.00,0.00,-0.02,0.00,0.00,7.20,7.23,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
8909243,0.10,0.00,0.00,-0.02,0.00,0.00,7.20,7.23,0.00,0.00,15.04,0.00,15.04,0.00,-4.55,-4.57
8919003,0.10,0.00,0.00,-0.02,0.00,0.00,7.20,7.23,0.00,0.00,15.04,0.00,15.04,0.00,-4.55,-4.57
8929223,0.10,0.00,0.00,-0.04,0.00,0.00,7.18,7.25,0.00,0.00,15.06,0.00,15.06,0.00,-6.21,-6.26
8939003,0.10,0.00,0.00,-0.06,0.00,0.00,7.15,7.27,0.00,0.00,15.06,0.00,15.06,0.00,-6.21,-6.26
8949219,0.10,0.00,0.00,-0.27,0.00,0.00,6.96,7.46,0.00,0.00,15.07,0.00,15.07,0.00,-6.69,-7.02
8959003,0.10,0.00,0.00,-0.48,0.00,0.00,6.76,7.67,0.00,0.00,15.07,0.00,15.07,0.00,-6.69,-7.02
8969290,0.10,0.00,0.00,-0.24,0.00,0.06,6.98,7.42,0.00,0.06,15.08,0.00,15.09,-0.00,-6.87,-7.21
8979007,0.10,0.00,0.00,-0.24,0.00,0.06,6.97,7.42,0.00,0.06,15.08,0.00,15.09,-0.00,-6.87,-7.21
8989215,0.10,0.00,0.00,-0.23,0.00,0.06,6.98,7.42,0.00,0.06,15.10,0.00,15.10,-0.00,-6.94,-7.31
8999194,0.10,0.00,0.00,-0.32,0.00,0.06,6.90,7.50,0.00,0.06,15.11,0.00,15.12,-0.00,-6.91,-7.39
9029215,0.10,0.00,0.00,-0.29,0.00,0.06,6.93,7.47,0.00,0.06,15.15,0.00,15.17,-0.00,-6.95,-7.38
9039278,0.10,0.00,0.00,-0.26,0.06,0.06,6.94,7.43,0.06,0.06,15.16,-0.00,15.19,-0.00,-6.89,-7.37
9049223,0.10,0.00,0.00,-0.22,0.06,0.06,6.98,7.39,0.06,0.06,15.18,-0.00,15.20,-0.00,-6.91,-7.35
