t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
130618,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.01,0.00,0.00,15.03,0.00,15.03,0.00,0.01,-0.01
138112,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.01,0.00,0.00,15.03,0.00,15.03,0.00,0.01,-0.01
148251,0.00,0.00,0.00,-0.02,0.00,0.00,-0.02,0.02,0.00,0.00,15.03,0.00,15.03,0.00,0.01,-0.01
158236,0.00,0.00,0.00,-0.02,0.00,0.00,-0.02,0.02,0.00,0.00,15.03,0.00,15.03,0.00,0.02,-0.02
168244,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.01,0.00,0.00,15.03,0.00,15.03,0.00,0.01,-0.01
178236,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.01,0.00,0.00,15.03,0.00,15.03,0.00,0.01,-0.01
188291,0.00,0.00,0.00,-0.02,0.00,0.00,-0.02,0.02,0.00,0.00,15.03,0.00,15.03,0.00,0.02,-0.02
198240,0.10,0.00,0.00,-0.01,0.00,0.00,7.20,7.23,0.00,0.00,15.04,0.00,15.04,0.00,-4.54,-4.57
208248,0.10,0.00,0.00,-0.01,0.00,0.00,7.20,7.22,0.00,0.00,15.06,0.00,15.06,0.00,-6.22,-6.25
218240,0.10,0.00,0.00,-0.02,0.00,0.00,7.19,7.23,0.00,0.00,15.07,0.00,15.07,0.00,-6.84,-6.87
238324,0.10,0.00,0.05,-0.02,2.56,2.51,5.93,5.96,2.56,2.51,15.09,-0.01,15.09,-0.00,-3.79,-3.87
248248,0.10,0.00,0.05,-0.01,2.56,2.51,5.93,5.96,2.56,2.51,15.09,-0.02,15.10,-0.01,-3.53,-3.61
258240,0.10,0.00,0.05,-0.02,2.56,2.51,5.93,5.96,2.56,2.51,15.10,-0.02,15.10,-0.01,-3.43,-3.51
268248,0.10,0.00,0.05,-0.01,2.56,2.51,5.93,5.96,2.56,2.51,15.10,-0.02,15.11,-0.02,-3.40,-3.47
318240,0.10,0.00,0.05,-0.01,2.56,2.51,5.93,5.96,2.56,2.51,15.12,-0.05,15.13,-0.04,-3.37,-3.45
328248,0.10,0.00,0.05,-0.02,2.56,2.51,5.93,5.96,2.56,2.51,15.13,-0.05,15.14,-0.04,-3.37,-3.45
338316,0.10,0.00,0.08,-0.01,5.15,2.51,5.29,5.31,5.15,2.51,15.13,-0.05,15.14,-0.05,-0.37,-3.04
