t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
16679236,0.10,0.00,0.06,-0.18,3.80,2.61,5.44,5.78,3.80,2.61,15.00,-0.07,15.17,-0.07,-1.62,-3.10
16709243,0.10,0.00,0.06,-0.26,3.80,2.61,5.36,5.86,3.80,2.61,15.01,-0.08,15.18,-0.09,-1.56,-3.24
16719231,0.10,0.00,0.06,-0.38,3.80,2.61,5.25,5.96,3.80,2.61,15.01,-0.08,15.19,-0.09,-1.49,-3.31
16729244,0.10,0.00,0.06,-0.32,3.80,2.61,5.31,5.91,3.80,2.61,15.01,-0.09,15.19,-0.09,-1.50,-3.30
16739232,0.10,0.00,0.06,-0.14,3.80,2.61,5.48,5.74,3.80,2.61,15.01,-0.09,15.20,-0.10,-1.61,-3.19
16789242,0.10,0.00,0.06,-0.31,3.21,2.61,5.47,6.05,3.21,2.61,15.03,-0.11,15.22,-0.12,-2.27,-3.41
16799234,0.10,0.00,0.06,-0.33,3.21,2.61,5.45,6.06,3.21,2.61,15.03,-0.11,15.22,-0.12,-2.25,-3.44
16809242,0.10,0.00,0.06,-0.34,3.21,2.61,5.44,6.08,3.21,2.61,15.03,-0.11,15.23,-0.13,-2.24,-3.46
16819234,0.10,0.00,0.06,-0.36,3.21,2.61,5.42,6.10,3.21,2.61,15.03,-0.12,15.23,-0.13,-2.22,-3.48
16859235,0.10,0.00,0.06,-0.01,3.21,2.93,5.67,5.69,3.21,2.93,15.05,-0.13,15.25,-0.15,-2.45,-2.79
16869242,0.10,0.00,0.06,-0.10,3.21,2.93,5.58,5.78,3.21,2.93,15.05,-0.14,15.26,-0.15,-2.40,-2.83
16879235,0.10,0.00,0.06,-0.35,3.21,2.93,5.35,6.01,3.21,2.93,15.05,-0.14,15.26,-0.16,-2.23,-2.99
16889242,0.10,0.00,0.06,-0.47,3.21,2.93,5.24,6.12,3.21,2.93,15.06,-0.14,15.26,-0.16,-2.10,-3.12
16929432,0.10,0.00,0.07,-0.00,3.93,2.93,5.49,5.50,3.93,2.93,15.06,-0.15,15.28,-0.18,-1.49,-2.65
16939234,0.10,0.00,0.07,-0.08,3.93,2.93,5.42,5.58,3.93,2.93,15.06,-0.16,15.28,-0.18,-1.49,-2.65
16949242,0.10,0.00,0.07,-0.06,3.93,2.93,5.44,5.56,3.93,2.93,15.06,-0.16,15.29,-0.19,-1.50,-2.64
16959235,0.10,0.00,0.07,0.00,3.93,2.93,5.50,5.50,3.93,2.93,15.07,-0.16,15.29,-0.19,-1.54,-2.60
17009242,0.10,0.00,0.07,-0.30,3.93,2.93,5.22,5.78,3.93,2.93,15.07,-0.18,15.31,-0.21,-1.24,-2.90
17019235,0.10,0.00,0.07,-0.18,3.93,2.93,5.33,5.66,3.93,2.93,15.08,-0.18,15.31,-0.22,-1.34,-2.80
17029314,0.10,0.00,0.07,-0.21,3.93,2.86,5.32,5.71,3.93,2.86,15.08,-0.18,15.32,-0.22,-1.37,-2.85
17039238,0.10,0.00,0.07,-0.09,3.93,2.86,5.43,5.60,3.93,2.86,15.08,-0.18,15.32,-0.22,-1.45,-2.78
17069242,0.10,0.00,0.06,-0.17,3.36,2.86,5.50,5.81,3.36,2.86,15.09,-0.19,15.33,-0.24,-2.12,-2.94
17079235,0.10,0.00,0.06,-0.21,3.36,2.86,5.46,5.86,3.36,2.86,15.09,-0.20,15.34,-0.24,-2.11,-2.98
