t:0.03, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.05, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.07, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.09, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.11, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.13, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.15, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.17, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.19, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.21, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.23, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.25, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.27, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.29, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.31, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.33, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.35, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.37, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.39, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.41, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.43, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.45, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.47, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.49, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.51, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.53, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.55, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.57, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.59, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.61, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.63, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.65, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.67, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.69, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.71, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.73, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.75, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.77, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.79, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.81, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.83, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.85, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.87, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.89, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.91, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.93, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.95, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.97, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:0.99, r:0.00, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:1.01, r:0.01, y:0.00, ym:0.00, u:0.00, theta1:0.00, theta2:0.00
t:1.03, r:0.03, y:0.00, ym:0.01, u:0.00, theta1:0.00, theta2:0.00
t:1.05, r:0.05, y:0.00, ym:0.02, u:0.00, theta1:0.00, theta2:0.00
t:1.07, r:0.07, y:0.00, ym:0.04, u:0.00, theta1:0.00, theta2:0.00
t:1.09, r:0.09, y:0.00, ym:0.06, u:0.00, theta1:0.00, theta2:0.00
t:1.11, r:0.11, y:0.00, ym:0.07, u:0.00, theta1:0.00, theta2:0.00
t:1.13, r:0.13, y:0.00, ym:0.09, u:0.00, theta1:0.00, theta2:0.00
t:1.15, r:0.15, y:0.00, ym:0.11, u:0.00, theta1:0.00, theta2:0.00
t:1.17, r:0.17, y:0.00, ym:0.13, u:0.00, theta1:0.00, theta2:0.00
t:1.19, r:0.19, y:0.00, ym:0.15, u:0.00, theta1:0.00, theta2:0.00
t:1.21, r:0.21, y:0.00, ym:0.17, u:0.00, theta1:0.00, theta2:0.00
t:1.23, r:0.23, y:0.00, ym:0.19, u:0.00, theta1:0.00, theta2:0.00
t:1.25, r:0.25, y:0.00, ym:0.21, u:0.00, theta1:0.00, theta2:0.00
t:1.27, r:0.27, y:0.00, ym:0.23, u:0.00, theta1:0.00, theta2:0.00
t:1.29, r:0.29, y:0.00, ym:0.25, u:0.00, theta1:0.00, theta2:0.00
t:1.31, r:0.31, y:0.00, ym:0.27, u:0.00, theta1:0.00, theta2:0.00
t:1.33, r:0.33, y:0.00, ym:0.29, u:0.00, theta1:0.01, theta2:0.00
t:1.35, r:0.35, y:0.00, ym:0.31, u:0.00, theta1:0.01, theta2:0.00
t:1.37, r:0.37, y:0.00, ym:0.33, u:0.00, theta1:0.01, theta2:0.00
t:1.39, r:0.39, y:0.00, ym:0.35, u:0.00, theta1:0.01, theta2:0.00
t:1.41, r:0.41, y:0.00, ym:0.37, u:0.00, theta1:0.01, theta2:0.00
t:1.43, r:0.43, y:0.00, ym:0.39, u:0.01, theta1:0.01, theta2:0.00
t:1.45, r:0.45, y:0.00, ym:0.41, u:0.01, theta1:0.01, theta2:0.00
t:1.47, r:0.47, y:0.00, ym:0.43, u:0.01, theta1:0.02, theta2:0.00
t:1.49, r:0.49, y:0.00, ym:0.45, u:0.01, theta1:0.02, theta2:0.00
t:1.51, r:0.51, y:0.00, ym:0.47, u:0.01, theta1:0.02, theta2:0.00
t:1.53, r:0.53, y:0.00, ym:0.49, u:0.01, theta1:0.02, theta2:0.00
t:1.55, r:0.55, y:0.00, ym:0.51, u:0.01, theta1:0.03, theta2:0.00
t:1.57, r:0.57, y:0.00, ym:0.53, u:0.02, theta1:0.03, theta2:0.00
t:1.59, r:0.59, y:0.00, ym:0.55, u:0.02, theta1:0.03, theta2:0.00
t:1.61, r:0.61, y:0.00, ym:0.57, u:0.02, theta1:0.04, theta2:0.00
t:1.63, r:0.63, y:0.00, ym:0.59, u:0.02, theta1:0.04, theta2:0.00
t:1.65, r:0.65, y:0.00, ym:0.61, u:0.03, theta1:0.04, theta2:0.00
t:1.67, r:0.67, y:0.00, ym:0.63, u:0.03, theta1:0.05, theta2:0.00
t:1.69, r:0.69, y:0.00, ym:0.65, u:0.04, theta1:0.05, theta2:0.00
t:1.71, r:0.71, y:0.00, ym:0.67, u:0.04, theta1:0.06, theta2:0.00
t:1.73, r:0.73, y:0.00, ym:0.69, u:0.05, theta1:0.06, theta2:0.00
t:1.75, r:0.75, y:0.00, ym:0.71, u:0.05, theta1:0.07, theta2:0.00
t:1.77, r:0.77, y:0.00, ym:0.73, u:0.06, theta1:0.07, theta2:0.00
t:1.79, r:0.79, y:0.00, ym:0.75, u:0.06, theta1:0.08, theta2:0.00
t:1.81, r:0.81, y:0.00, ym:0.77, u:0.07, theta1:0.09, theta2:0.00
t:1.83, r:0.83, y:0.00, ym:0.79, u:0.08, theta1:0.09, theta2:0.00
t:1.85, r:0.85, y:0.00, ym:0.81, u:0.08, theta1:0.10, theta2:0.00
t:1.87, r:0.87, y:0.00, ym:0.83, u:0.09, theta1:0.11, theta2:0.00
t:1.89, r:0.89, y:0.00, ym:0.85, u:0.10, theta1:0.11, theta2:0.00
t:1.91, r:0.91, y:0.00, ym:0.87, u:0.11, theta1:0.12, theta2:0.00
t:1.93, r:0.93, y:0.00, ym:0.89, u:0.12, theta1:0.13, theta2:0.00
t:1.95, r:0.95, y:0.00, ym:0.91, u:0.13, theta1:0.14, theta2:0.00
t:1.97, r:0.97, y:0.00, ym:0.93, u:0.14, theta1:0.15, theta2:0.00
t:1.99, r:0.99, y:0.00, ym:0.95, u:0.15, theta1:0.16, theta2:0.00
t:2.01, r:1.01, y:0.00, ym:0.97, u:0.17, theta1:0.17, theta2:0.00
t:2.03, r:1.03, y:0.00, ym:0.99, u:0.18, theta1:0.18, theta2:0.00
t:2.05, r:1.05, y:0.00, ym:1.01, u:0.20, theta1:0.19, theta2:0.00
t:2.07, r:1.07, y:0.00, ym:1.03, u:0.21, theta1:0.20, theta2:0.00
t:2.09, r:1.09, y:0.00, ym:1.05, u:0.23, theta1:0.21, theta2:0.00
t:2.11, r:1.11, y:0.00, ym:1.07, u:0.25, theta1:0.22, theta2:0.00
t:2.13, r:1.13, y:0.00, ym:1.09, u:0.26, theta1:0.23, theta2:0.00
t:2.15, r:1.15, y:0.00, ym:1.11, u:0.28, theta1:0.25, theta2:0.00
t:2.17, r:1.17, y:0.00, ym:1.13, u:0.30, theta1:0.26, theta2:0.00
t:2.19, r:1.19, y:0.00, ym:1.15, u:0.33, theta1:0.27, theta2:0.00
t:2.21, r:1.21, y:0.00, ym:1.17, u:0.35, theta1:0.29, theta2:0.00
t:2.23, r:1.23, y:0.00, ym:1.19, u:0.37, theta1:0.30, theta2:0.00
t:2.25, r:1.25, y:0.00, ym:1.21, u:0.40, theta1:0.32, theta2:0.00
t:2.27, r:1.27, y:0.00, ym:1.23, u:0.42, theta1:0.33, theta2:0.00
t:2.29, r:1.29, y:0.00, ym:1.25, u:0.45, theta1:0.35, theta2:0.00
t:2.31, r:1.31, y:0.00, ym:1.27, u:0.48, theta1:0.37, theta2:0.00
t:2.33, r:1.33, y:0.00, ym:1.29, u:0.51, theta1:0.38, theta2:0.00
t:2.35, r:1.35, y:0.00, ym:1.31, u:0.54, theta1:0.40, theta2:0.00
t:2.37, r:1.37, y:0.00, ym:1.33, u:0.57, theta1:0.42, theta2:0.00
t:2.39, r:1.39, y:0.00, ym:1.35, u:0.61, theta1:0.44, theta2:0.00
t:2.41, r:1.41, y:0.00, ym:1.37, u:0.64, theta1:0.46, theta2:0.00
t:2.43, r:1.43, y:0.00, ym:1.39, u:0.68, theta1:0.48, theta2:0.00
t:2.45, r:1.45, y:0.00, ym:1.41, u:0.72, theta1:0.50, theta2:0.00
t:2.47, r:1.47, y:0.00, ym:1.43, u:0.76, theta1:0.52, theta2:0.00
t:2.49, r:1.49, y:0.00, ym:1.45, u:0.80, theta1:0.54, theta2:0.00
t:2.51, r:1.51, y:0.00, ym:1.47, u:0.85, theta1:0.56, theta2:0.00
t:2.53, r:1.53, y:0.00, ym:1.49, u:0.89, theta1:0.58, theta2:0.00
t:2.55, r:1.55, y:0.00, ym:1.51, u:0.94, theta1:0.61, theta2:0.00
t:2.57, r:1.57, y:0.00, ym:1.53, u:0.99, theta1:0.63, theta2:0.00
t:2.59, r:1.59, y:0.00, ym:1.55, u:1.04, theta1:0.66, theta2:0.00
t:2.61, r:1.61, y:0.00, ym:1.57, u:1.10, theta1:0.68, theta2:0.00
t:2.63, r:1.63, y:0.00, ym:1.59, u:1.15, theta1:0.71, theta2:0.00
t:2.65, r:1.65, y:0.00, ym:1.61, u:1.21, theta1:0.73, theta2:0.00
t:2.67, r:1.67, y:0.00, ym:1.63, u:1.27, theta1:0.76, theta2:0.00
t:2.69, r:1.69, y:0.00, ym:1.65, u:1.33, theta1:0.79, theta2:0.00
t:2.71, r:1.71, y:0.00, ym:1.67, u:1.40, theta1:0.82, theta2:0.00
t:2.73, r:1.73, y:0.00, ym:1.69, u:1.47, theta1:0.85, theta2:0.00
t:2.75, r:1.75, y:0.00, ym:1.71, u:1.54, theta1:0.88, theta2:0.00
t:2.77, r:1.77, y:0.00, ym:1.73, u:1.61, theta1:0.91, theta2:0.00
t:2.79, r:1.79, y:0.00, ym:1.75, u:1.68, theta1:0.94, theta2:0.00
t:2.81, r:1.81, y:0.00, ym:1.77, u:1.76, theta1:0.97, theta2:0.00
t:2.83, r:1.83, y:0.00, ym:1.79, u:1.84, theta1:1.00, theta2:0.00
t:2.85, r:1.85, y:0.00, ym:1.81, u:1.92, theta1:1.04, theta2:0.00
t:2.87, r:1.87, y:0.00, ym:1.83, u:2.00, theta1:1.07, theta2:0.00
t:2.89, r:1.89, y:0.00, ym:1.85, u:2.09, theta1:1.11, theta2:0.00
t:2.91, r:1.91, y:0.00, ym:1.87, u:2.18, theta1:1.14, theta2:0.00
t:2.93, r:1.93, y:0.00, ym:1.89, u:2.27, theta1:1.18, theta2:0.00
t:2.95, r:1.95, y:0.00, ym:1.91, u:2.37, theta1:1.22, theta2:0.00
t:2.97, r:1.97, y:0.00, ym:1.93, u:2.47, theta1:1.25, theta2:0.00
