t,v_ref,w_ref,v,w,u_L,u_R,omega_L,omega_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
15801643,0.15,0.00,0.00,-0.01,6.98,6.98,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
15812045,0.15,0.00,0.00,-0.01,6.98,6.98,0.00,0.00,104.87,104.87,15.03,0.00,15.03,0.00,-4.41,-4.41
15822286,0.15,0.00,0.00,-0.01,6.98,6.98,0.00,0.00,104.88,104.88,15.04,0.00,15.04,0.00,-6.03,-6.03
15832514,0.15,0.00,0.00,-0.06,6.98,6.98,0.00,0.00,104.89,104.89,15.04,0.00,15.04,0.00,-6.63,-6.63
15842731,0.15,0.00,0.00,-0.11,6.98,6.98,0.00,0.00,104.90,104.90,15.04,0.00,15.04,0.00,-6.85,-6.85
15852930,0.15,0.00,0.00,-0.17,6.98,6.98,0.00,0.00,104.91,104.91,15.04,0.00,15.04,0.00,-6.93,-6.93
15863130,0.15,0.00,0.00,-0.11,6.98,6.98,0.00,0.00,104.92,104.92,15.04,0.00,15.04,0.00,-6.96,-6.96
15873345,0.15,0.00,0.00,0.24,6.98,6.98,0.00,0.00,104.93,104.93,15.04,0.00,15.04,0.00,-6.97,-6.97
15883575,0.15,0.00,0.00,-0.28,6.98,6.98,0.00,0.00,104.93,104.93,15.04,0.00,15.04,0.00,-6.97,-6.97
15893775,0.15,0.00,0.00,-0.72,6.98,6.98,0.00,0.00,104.94,104.94,15.05,0.00,15.05,0.00,-6.97,-6.97
15903975,0.15,0.00,0.00,-0.77,6.98,6.98,0.00,0.00,104.95,104.95,15.05,0.00,15.05,0.00,-6.97,-6.97
15935029,0.15,0.00,0.00,-0.16,6.98,6.98,0.03,0.03,104.98,104.98,15.05,0.00,15.05,0.00,-6.94,-6.98
15945254,0.15,0.00,0.00,-0.18,6.98,6.98,0.03,0.03,104.99,104.99,15.05,0.00,15.05,0.00,-6.94,-6.94
15955470,0.15,0.00,0.00,-0.27,6.98,6.98,0.03,0.03,105.00,105.00,15.05,0.00,15.05,0.00,-6.94,-6.94
15965685,0.15,0.00,0.00,-0.15,6.98,6.98,0.03,0.03,105.01,105.01,15.05,0.00,15.05,0.00,-6.94,-6.94
15996342,0.15,0.00,0.00,-0.25,6.98,6.98,0.00,0.00,105.04,105.04,15.06,0.00,15.06,0.00,-6.98,-6.98
16006860,0.16,0.00,0.00,-0.11,7.42,7.42,0.00,0.00,111.72,111.72,15.06,0.00,15.06,0.00,-7.26,-7.26
16017061,0.16,0.00,0.00,-0.27,7.42,7.42,0.00,0.00,111.73,111.73,15.06,0.00,15.06,0.00,-7.36,-7.36
16027325,0.16,0.00,0.06,-0.14,7.42,7.42,5.41,0.00,111.75,111.75,15.06,0.00,15.06,0.00,-7.40,-7.40
16078605,0.17,0.00,0.06,-0.25,7.86,7.86,0.00,5.15,111.77,111.77,15.07,0.00,15.07,0.00,-7.42,-2.26
16088976,0.17,0.00,0.00,-0.02,7.86,7.86,0.00,0.00,118.37,118.36,15.07,0.00,15.07,0.00,-7.69,-2.54
16099204,0.17,0.00,0.00,-0.06,7.86,7.86,0.00,0.00,118.39,118.38,15.07,0.00,15.07,0.00,-7.80,-7.80
16109583,0.17,0.00,0.07,-0.26,7.86,7.86,6.44,0.00,118.40,118.39,15.07,0.00,15.07,0.00,-7.83,-7.83
16140522,0.17,0.00,0.13,-0.15,7.86,7.86,6.44,6.08,118.41,118.42,15.07,0.00,15.07,0.00,-1.42,-1.78
16150740,0.17,0.00,0.13,-0.23,7.86,7.86,6.44,6.08,118.41,118.42,15.07,0.00,15.08,0.00,-1.42,-1.78
16160938,0.17,0.00,0.07,-0.16,7.86,7.86,0.00,6.08,118.43,118.42,15.08,0.00,15.08,0.00,-7.86,-1.78
16171137,0.17,0.00,0.07,-0.24,7.86,7.86,0.00,6.08,118.44,118.43,15.08,0.00,15.08,0.00,-7.86,-1.78
16222331,0.18,0.00,0.15,-0.11,8.29,8.29,7.19,6.68,118.46,118.48,15.08,0.00,15.08,0.00,-0.66,-1.18
