t,v_ref,w_ref,v,w,u_L,u_R,omega_L,omega_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
19348568,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
19358830,0.00,5.00,0.00,-0.01,-9.59,9.59,0.00,0.00,-144.18,144.18,15.04,0.00,15.04,0.00,6.06,-6.06
19369184,0.00,5.00,0.00,-0.01,-9.59,9.59,0.00,0.00,-144.21,144.21,15.04,0.00,15.04,0.00,8.29,-8.29
19379481,0.00,5.00,0.00,0.07,-9.59,9.59,0.00,0.00,-144.24,144.24,15.04,0.00,15.04,0.00,9.11,-9.11
19389991,0.00,5.00,0.00,0.24,-9.59,9.59,0.00,0.00,-144.27,144.27,15.04,0.00,15.04,0.00,9.41,-9.41
19400241,0.00,5.00,-0.00,1.13,-9.59,9.59,-0.03,0.00,-144.30,144.30,15.05,0.00,15.05,0.00,9.50,-9.52
19410469,0.00,5.00,-0.00,2.38,-9.59,9.59,-0.03,0.00,-144.33,144.33,15.05,0.00,15.05,0.00,9.54,-9.57
19420691,0.00,5.00,-0.00,2.65,-9.59,9.59,-0.03,0.00,-144.36,144.36,15.05,0.00,15.05,0.00,9.55,-9.58
19430889,0.00,5.00,-0.00,3.06,-9.59,9.59,-0.03,0.00,-144.39,144.39,15.06,0.00,15.06,0.00,9.56,-9.59
19441410,0.00,5.00,0.00,3.33,-9.59,9.59,0.00,0.00,-144.42,144.42,15.06,0.00,15.06,0.00,9.56,-9.59
19462007,0.00,5.00,-0.08,3.98,-9.59,9.59,-7.46,0.00,-144.48,144.48,15.07,0.00,15.07,0.00,9.59,-9.59
19472207,0.00,5.00,-0.08,3.99,-9.59,9.59,-7.46,0.00,-144.49,144.51,15.07,0.00,15.07,0.00,2.13,-9.59
19482497,0.00,5.00,-0.08,4.47,-9.59,9.59,-7.46,0.00,-144.49,144.54,15.07,0.00,15.07,0.00,2.13,-9.59
19492716,0.00,5.00,-0.08,4.63,-9.59,9.59,-7.46,0.00,-144.50,144.57,15.07,0.00,15.08,0.00,2.13,-9.59
19543936,0.00,5.00,-0.03,4.57,-9.59,9.59,-9.98,7.34,-144.52,144.63,15.07,0.00,15.08,0.00,-0.39,-2.25
19554285,0.00,5.00,-0.03,4.55,-9.59,9.59,-9.98,7.34,-144.52,144.64,15.07,0.00,15.08,0.00,-0.39,-2.25
19564574,0.00,5.00,0.00,4.32,-9.59,9.59,-9.46,0.00,-144.52,144.67,15.07,0.00,15.09,0.00,-0.39,-9.59
19574958,0.00,5.00,-0.02,4.21,-9.59,9.59,-10.02,8.38,-144.51,144.67,15.07,0.00,15.09,0.00,-0.43,-1.21
19605581,0.00,5.00,-0.02,4.16,-9.59,9.59,-10.02,8.38,-144.50,144.68,15.07,0.00,15.09,0.00,-0.43,-1.21
19615783,0.00,5.00,0.09,4.11,-9.59,9.59,-10.40,8.38,-144.49,144.69,15.07,0.00,15.09,0.00,-0.43,-1.21
19626173,0.00,5.00,-0.10,4.07,-9.59,9.59,-9.46,0.00,-144.49,144.72,15.07,0.00,15.09,0.00,0.13,-9.59
19636452,0.00,5.00,-0.01,4.39,-9.59,9.59,-9.46,8.10,-144.50,144.75,15.07,0.00,15.09,0.00,0.13,-9.59
19677283,0.00,5.00,-0.02,4.72,-9.59,9.59,-9.67,8.10,-144.50,144.77,15.07,0.00,15.10,0.00,-0.08,-1.49
19687509,0.00,5.00,-0.10,4.86,-9.59,9.59,-9.67,0.00,-144.50,144.77,15.07,0.00,15.10,0.00,-0.08,-1.49
19697827,0.00,5.00,-0.10,4.89,-9.59,9.59,-9.67,0.00,-144.50,144.80,15.07,0.00,15.10,0.00,-0.08,-9.59
19708140,0.00,5.00,-0.02,4.87,-9.59,9.59,-9.67,7.79,-144.49,144.81,15.07,0.00,15.10,0.00,-0.08,-1.80
19759477,0.00,5.00,-0.11,4.64,-9.59,9.59,-10.63,0.00,-144.44,144.86,15.07,0.00,15.11,0.00,-1.04,-9.59
19769875,0.00,5.00,-0.03,4.85,-9.59,9.59,-10.63,8.26,-144.43,144.86,15.07,0.00,15.11,0.00,-1.04,-1.33
19780240,0.00,5.00,-0.02,4.77,-9.59,9.59,-9.70,8.26,-144.43,144.87,15.07,0.00,15.11,0.00,-0.11,-1.33
19790481,0.00,5.00,-0.02,4.65,-9.59,9.59,-9.70,8.26,-144.43,144.87,15.07,0.00,15.11,0.00,-0.11,-1.33
19831394,0.00,5.00,0.09,4.64,-9.59,9.59,-9.60,8.14,-144.51,144.94,15.07,0.00,15.11,0.00,9.59,-9.59
19841649,0.00,5.00,-0.02,4.80,-9.59,9.59,-9.57,8.14,-144.46,144.95,15.07,0.00,15.11,0.00,0.02,-1.45
19851983,0.00,5.00,-0.02,4.87,-9.59,9.59,-9.57,8.14,-144.46,144.95,15.07,0.00,15.12,0.00,0.02,-1.45
19862188,0.00,5.00,-0.02,5.04,-9.59,9.59,-9.57,8.14,-144.46,144.95,15.07,0.00,15.12,0.00,0.02,-1.45
19903161,0.00,5.00,-0.02,4.97,-9.59,9.59,-9.85,8.31,-144.45,145.00,15.07,0.01,15.12,0.00,-0.26,-1.28
19913436,0.00,5.00,-0.02,4.79,-9.59,9.59,-9.85,8.31,-144.45,145.00,15.07,0.01,15.12,0.00,-0.26,-1.28
19923653,0.00,5.00,-0.02,4.79,-9.59,9.59,-9.85,8.31,-144.45,145.01,15.07,0.01,15.12,0.00,-0.26,-1.28
19933860,0.00,5.00,-0.02,4.76,-9.59,9.59,-9.85,8.31,-144.45,145.01,15.07,0.01,15.12,0.00,-0.26,-1.28
19976897,0.00,5.00,-0.10,4.90,-9.59,9.59,-9.47,0.00,-144.45,145.10,15.07,0.01,15.13,0.00,0.12,-9.59
19987257,0.00,5.00,-0.10,4.97,-9.59,9.59,-9.47,0.00,-144.45,145.13,15.07,0.01,15.13,0.00,0.12,-9.59
19997666,0.00,5.00,-0.10,5.05,-9.59,9.59,-9.61,0.00,-144.53,145.16,15.07,0.01,15.14,0.00,9.59,-9.59
20007864,0.00,5.00,-0.10,5.22,-9.59,9.59,-9.61,0.00,-144.48,145.19,15.07,0.01,15.14,0.00,-0.02,-9.59
20048865,0.00,5.00,0.09,5.19,-9.59,9.59,-9.61,8.72,-144.48,145.23,15.07,0.01,15.14,0.00,-0.02,-0.87
