t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
45802920,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
45832446,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
45854208,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
45883745,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
45905511,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
45935040,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
45956823,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
45986353,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
46008107,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
46037641,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
46059410,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
46088930,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
46110723,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.05,0.36,15.18,-0.08,0.00,0.00
