t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
6373666,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
6403402,0.30,0.00,0.00,0.04,0.00,0.00,13.95,13.95,0.00,0.00,15.05,0.00,15.05,0.00,-12.06,-12.06
6425299,0.30,0.00,0.00,0.46,0.00,0.00,13.95,13.95,0.00,0.00,15.05,0.00,15.05,0.00,-13.26,-13.26
6454960,0.30,0.00,0.00,-0.62,0.08,0.00,13.95,13.95,0.08,0.00,15.07,-0.00,15.07,0.00,-13.78,-13.86
6487464,0.30,0.00,0.00,-1.31,0.08,0.08,13.95,13.95,0.08,0.08,15.08,-0.00,15.08,-0.00,-13.86,-13.86
6520017,0.30,0.00,0.21,-0.75,9.46,10.40,13.95,13.95,9.46,10.40,15.09,-0.00,15.09,-0.00,-4.49,-3.56
6552546,0.30,0.00,0.23,-0.42,11.44,10.40,13.95,13.95,11.44,10.40,15.09,-0.01,15.10,-0.01,-2.51,-3.56
6585112,0.30,0.00,0.25,-0.60,12.63,10.69,13.95,13.95,12.63,10.69,15.09,-0.01,15.10,-0.01,-1.33,-3.26
6617707,0.30,0.00,0.27,-0.23,12.87,11.84,13.95,13.95,12.87,11.84,15.09,-0.01,15.10,-0.01,-1.09,-2.12
6650296,0.30,0.00,0.27,-0.32,12.87,12.55,13.95,13.95,12.87,12.55,15.09,-0.01,15.10,-0.01,-1.09,-1.41
6682775,0.30,0.00,0.27,-0.21,13.00,12.55,13.95,13.95,13.00,12.55,15.10,-0.01,15.11,-0.02,-0.95,-1.41
6702035,0.30,0.00,0.28,-0.34,13.56,12.71,13.95,13.95,13.56,12.71,15.10,-0.01,15.11,-0.02,-0.40,-1.24
6731745,0.30,0.00,0.29,0.09,13.56,13.29,13.95,13.95,13.56,13.29,15.10,-0.01,15.11,-0.02,-0.40,-0.66
6764257,0.30,0.00,0.29,0.10,13.63,13.29,13.95,13.95,13.63,13.29,15.10,-0.02,15.11,-0.02,-0.32,-0.66
6796778,0.30,0.00,0.29,-0.17,13.27,13.67,13.95,13.95,13.27,13.67,15.10,-0.02,15.11,-0.02,-0.68,-0.28
6816065,0.30,0.00,0.30,-0.14,14.04,13.53,13.95,13.95,14.04,13.53,15.10,-0.02,15.11,-0.02,0.09,-0.42
6845850,0.30,0.00,0.30,-0.07,14.04,13.75,13.95,13.95,14.04,13.75,15.10,-0.02,15.11,-0.02,0.09,-0.20
6878384,0.30,0.00,0.30,-0.06,13.79,13.75,13.95,13.95,13.79,13.75,15.10,-0.02,15.11,-0.02,-0.17,-0.20
6910950,0.30,0.00,0.29,0.04,13.33,13.80,13.95,13.95,13.33,13.80,15.10,-0.02,15.11,-0.02,-0.62,-0.15
6943498,0.30,0.00,0.29,-0.15,13.65,13.63,13.95,13.95,13.65,13.63,15.10,-0.02,15.11,-0.02,-0.30,-0.32
6976102,0.30,0.00,0.30,-0.08,13.79,13.73,13.95,13.95,13.79,13.73,15.10,-0.02,15.11,-0.02,-0.16,-0.22
7008609,0.30,0.00,0.30,0.01,13.94,13.84,13.95,13.95,13.94,13.84,15.10,-0.02,15.11,-0.02,-0.01,-0.12
7041062,0.30,0.00,0.30,0.15,13.79,13.84,13.95,13.95,13.79,13.84,15.10,-0.02,15.11,-0.02,-0.16,-0.11
7073593,0.30,0.00,0.30,0.11,13.79,14.20,13.95,13.95,13.79,14.20,15.10,-0.02,15.11,-0.02,-0.16,0.25
7106108,0.00,0.00,0.30,-0.01,13.82,14.20,0.00,0.00,13.82,14.20,15.10,-0.01,15.11,-0.02,8.69,9.07
7128227,0.00,0.00,0.29,-0.05,13.50,13.63,0.00,0.00,13.50,13.63,15.10,-0.00,15.11,-0.01,11.61,11.74
7157919,0.00,0.00,0.29,-0.16,13.50,13.63,0.00,0.00,13.50,13.63,15.09,0.01,15.10,0.01,13.24,13.37
7179844,0.00,0.00,0.29,-0.46,13.50,13.63,0.00,0.00,13.50,13.63,15.09,0.02,15.10,0.02,13.41,13.53
7209570,0.00,0.00,0.29,-0.33,13.50,13.63,0.00,0.00,13.50,13.63,15.09,0.04,15.10,0.04,13.49,13.61
7231471,0.00,0.00,0.29,0.50,13.50,13.63,0.00,0.00,13.50,13.63,15.08,0.05,15.09,0.05,13.50,13.62
7261128,0.00,0.00,0.29,0.16,13.50,13.63,0.00,0.00,13.50,13.63,15.08,0.07,15.09,0.07,13.50,13.62
7283000,0.00,0.00,0.29,0.02,13.50,13.63,0.00,0.00,13.50,13.63,15.08,0.08,15.09,0.08,13.50,13.62
7312665,0.00,0.00,0.29,-0.07,13.50,13.63,0.00,0.00,13.50,13.63,15.07,0.10,15.08,0.09,13.50,13.63
7334574,0.00,0.00,0.29,-0.00,13.50,13.63,0.00,0.00,13.50,13.63,15.07,0.10,15.08,0.10,13.50,13.63
7364303,0.00,0.00,0.29,-0.00,13.50,13.63,0.00,0.00,13.50,13.63,15.07,0.12,15.08,0.12,13.50,13.63
7386223,0.00,0.00,0.29,-0.01,13.50,13.63,0.00,0.00,13.50,13.63,15.07,0.13,15.08,0.13,13.50,13.63
7416112,-0.30,0.00,0.29,-0.01,13.50,13.63,-13.95,-13.95,13.50,13.63,15.08,0.16,15.09,0.16,22.32,22.45
7448713,-0.30,0.00,-0.03,0.44,-1.61,-1.56,-13.95,-13.95,-1.61,-1.56,15.10,0.17,15.11,0.17,11.65,11.70
7468167,-0.30,0.00,-0.03,0.76,-1.61,-1.56,-13.95,-13.95,-1.61,-1.56,15.10,0.17,15.11,0.17,12.09,12.14
7498059,-0.30,0.00,-0.03,1.12,-1.61,-1.56,-13.95,-13.95,-1.61,-1.56,15.12,0.17,15.13,0.17,12.31,12.36
7530963,-0.30,0.00,-0.20,1.33,-9.20,-9.43,-13.95,-13.95,-9.20,-9.43,15.12,0.16,15.13,0.17,4.75,4.52
7563833,-0.30,0.00,-0.24,1.01,-11.72,-10.48,-13.95,-13.95,-11.72,-10.48,15.12,0.16,15.14,0.16,2.23,3.48
7596634,-0.30,0.00,-0.25,0.70,-12.75,-10.48,-13.95,-13.95,-12.75,-10.48,15.13,0.16,15.14,0.16,1.20,3.48
7616234,-0.30,0.00,-0.25,0.55,-12.75,-10.96,-13.95,-13.95,-12.75,-10.96,15.13,0.16,15.14,0.16,1.20,2.99
