t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
38665731,0.30,0.00,-0.00,-3.50,5.63,-5.97,13.08,14.83,5.63,-5.97,16.37,-0.06,15.96,-0.60,-5.65,-12.33
38686602,0.30,0.00,-0.00,-3.16,5.63,-5.97,13.16,14.75,5.63,-5.97,16.37,-0.06,15.97,-0.59,-6.79,-17.69
38707493,0.30,0.00,0.13,-2.23,7.41,4.94,14.49,13.41,7.41,-5.97,16.38,-0.06,15.98,-0.59,-5.48,-19.60
38738845,0.30,0.00,0.13,-0.50,7.41,4.94,17.85,10.06,7.41,4.94,16.39,-0.07,15.99,-0.59,-8.99,-6.39
38759721,0.30,0.00,0.25,-0.54,12.60,10.65,17.66,10.25,12.60,4.94,16.39,-0.07,15.99,-0.59,-4.71,-5.59
38780526,0.30,0.00,0.29,-0.86,15.90,10.65,16.89,11.01,15.90,10.65,16.39,-0.07,15.99,-0.59,-1.63,0.30
38811859,0.30,0.00,0.30,-0.95,17.02,10.65,16.73,11.18,17.02,10.65,16.39,-0.07,15.99,-0.59,0.14,-0.38
38832672,0.30,0.00,0.28,-0.63,17.02,8.71,17.12,10.79,17.02,8.71,16.39,-0.07,15.99,-0.59,0.24,-2.41
38853438,0.30,0.00,0.25,-0.95,15.01,8.71,16.27,11.63,15.01,8.71,16.39,-0.07,15.99,-0.59,-1.98,-2.21
38884841,0.30,0.00,0.27,-1.35,15.65,9.23,15.20,12.70,15.65,9.23,16.39,-0.07,15.99,-0.60,-0.05,-2.98
38905650,0.30,0.00,0.27,-1.54,15.65,9.23,14.55,13.36,15.65,9.23,16.39,-0.07,15.99,-0.60,0.26,-3.29
38926571,0.30,0.00,0.28,-1.57,15.39,10.45,14.17,13.74,15.39,9.23,16.39,-0.07,16.00,-0.60,0.54,-3.82
38957903,0.30,0.00,0.29,-0.85,16.31,10.45,15.45,12.46,16.31,10.45,16.39,-0.07,16.00,-0.60,1.24,-2.38
38978713,0.30,0.00,0.30,-0.28,14.89,12.56,16.50,11.41,16.31,12.56,16.39,-0.07,16.00,-0.60,1.00,-0.03
38999473,0.30,0.00,0.30,-0.74,14.89,12.56,15.43,12.48,14.89,12.56,16.39,-0.07,16.00,-0.60,-1.17,0.72
39030788,0.30,0.00,0.32,-0.84,16.29,13.07,15.55,12.36,16.29,13.07,16.39,-0.07,16.00,-0.60,0.70,0.75
39051593,0.30,0.00,0.30,-0.73,16.20,12.04,15.23,12.68,16.20,13.07,16.39,-0.07,16.00,-0.60,0.63,0.73
39072359,0.30,0.00,0.31,-0.86,16.83,12.04,14.81,13.10,16.20,12.04,16.39,-0.07,16.00,-0.60,0.85,-0.51
39103772,0.30,0.00,0.32,-0.92,16.76,13.05,14.49,13.41,16.76,13.05,16.39,-0.07,16.00,-0.60,2.08,-0.18
