t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
38233905,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
38238749,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
38241858,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
38255457,0.25,0.00,0.00,-0.01,0.00,0.00,11.63,11.63,0.00,0.00,15.07,0.00,15.07,0.00,-7.35,-7.35
38260312,0.25,0.00,0.00,-0.01,0.00,0.00,11.63,11.63,0.00,0.00,15.07,0.00,15.07,0.00,-7.35,-7.35
38263202,0.25,0.00,0.00,-0.01,0.00,0.00,11.63,11.63,0.00,0.00,15.07,0.00,15.07,0.00,-7.35,-7.35
38276738,0.25,0.00,0.00,-0.15,0.00,0.00,11.63,11.63,0.00,0.00,15.11,0.00,15.11,0.00,-10.05,-10.05
38284487,0.25,0.00,0.00,-0.49,0.00,0.00,11.63,11.63,0.00,0.00,15.11,0.00,15.11,0.00,-10.05,-10.05
38297976,0.25,0.00,0.00,-0.81,0.00,0.00,11.63,11.63,0.00,0.00,15.16,0.00,15.16,0.00,-11.05,-11.05
38302817,0.25,0.00,0.00,-0.95,0.00,0.00,11.63,11.63,0.00,0.00,15.16,0.00,15.16,0.00,-11.05,-11.05
38316352,0.25,0.00,0.00,-0.82,0.01,0.00,11.63,11.63,0.01,0.00,15.21,-0.00,15.21,0.00,-11.40,-11.41
38359180,0.25,0.00,0.00,-0.64,0.01,0.01,11.63,11.63,0.01,0.01,15.30,-0.00,15.30,-0.00,-11.58,-11.58
38362118,0.25,0.00,0.00,-0.64,0.01,0.01,11.63,11.63,0.01,0.01,15.30,-0.00,15.30,-0.00,-11.58,-11.58
38377409,0.25,0.00,0.10,-0.54,8.86,0.01,11.63,11.63,8.86,0.01,15.32,-0.01,15.35,-0.00,-2.75,-11.60
38380480,0.25,0.00,0.10,-0.45,8.86,0.01,11.63,11.63,8.86,0.01,15.32,-0.01,15.35,-0.00,-2.75,-11.60
38436532,0.25,0.00,0.21,-0.36,10.59,9.03,11.63,11.63,10.59,9.03,15.34,-0.04,15.39,-0.04,-1.03,-2.60
38441378,0.25,0.00,0.21,-0.28,10.59,9.03,11.63,11.63,10.59,9.03,15.34,-0.04,15.39,-0.04,-1.03,-2.60
38444340,0.25,0.00,0.22,-0.28,10.59,10.15,11.63,11.63,10.59,9.03,15.34,-0.04,15.39,-0.04,-1.03,-2.60
38457915,0.25,0.00,0.23,-0.31,11.61,10.15,11.63,11.63,11.61,10.15,15.34,-0.04,15.39,-0.04,-0.01,-1.48
38516031,0.25,0.00,0.25,-0.33,12.37,10.99,11.63,11.63,12.37,10.99,15.33,-0.03,15.41,-0.06,0.74,-0.63
38519093,0.25,0.00,0.25,-0.16,12.37,10.99,11.63,11.63,12.37,10.99,15.33,-0.03,15.41,-0.06,0.74,-0.63
38522010,0.25,0.00,0.25,-0.16,12.37,10.99,11.63,11.63,12.37,10.99,15.33,-0.03,15.41,-0.06,0.74,-0.63
38537360,0.25,0.00,0.26,-0.18,12.37,11.39,11.63,11.63,12.37,11.39,15.33,-0.03,15.41,-0.06,0.74,-0.24
