t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
7774961,0.2000,0.0000,0.0000,-0.00,0.0000,0.00,0.0000,0.0000,0.0000,0.00,15.03,0.00,15.03,0.00,0.00,0.00
7777944,0.2000,0.0000,0.0000,-0.00,0.0000,0.00,0.0000,0.0000,0.0000,0.00,15.03,0.00,15.03,0.00,0.00,0.00
7793286,0.2000,0.0000,0.0000,-0.00,0.0000,0.00,9.2898,9.3108,0.0000,0.00,15.05,0.00,15.05,0.00,-5.87,-5.89
7796260,0.2000,0.0000,0.0000,-0.00,0.0000,0.00,9.2898,9.3108,0.0000,0.00,15.05,0.00,15.05,0.00,-5.87,-5.89
7799152,0.2000,0.0000,0.0000,-0.00,0.0000,0.00,9.2898,9.3108,0.0000,0.00,15.05,0.00,15.05,0.00,-5.87,-5.89
7814485,0.2000,0.0000,0.0000,0.09,0.0000,0.00,9.5009,9.0998,0.0000,0.00,15.08,0.00,15.08,0.00,-8.17,-7.92
7817426,0.2000,0.0000,0.0000,0.09,0.0000,0.00,9.5009,9.0998,0.0000,0.00,15.08,0.00,15.08,0.00,-8.17,-7.92
7820258,0.2000,0.0000,0.0000,0.09,0.0000,0.00,9.5009,9.0998,0.0000,0.00,15.08,0.00,15.08,0.00,-8.17,-7.92
7835565,0.2000,0.0000,0.0000,0.07,0.0000,0.00,9.4611,9.1396,0.0000,0.00,15.11,0.00,15.10,0.00,-8.98,-8.69
7877845,0.2000,0.0000,0.0007,-0.09,0.0000,0.07,9.1489,9.4518,0.0000,0.07,15.17,0.00,15.16,-0.00,-9.19,-9.22
7880839,0.2000,0.0000,0.0007,-0.10,0.0000,0.07,9.1489,9.4518,0.0000,0.07,15.17,0.00,15.16,-0.00,-9.19,-9.22
7883825,0.2000,0.0000,0.0014,-0.10,0.0666,0.07,9.1489,9.4518,0.0000,0.07,15.17,0.00,15.16,-0.00,-9.19,-9.22
7899216,0.2000,0.0000,0.0014,-0.02,0.0666,0.07,9.2856,9.3151,0.0666,0.07,15.19,-0.00,15.19,-0.00,-9.18,-9.24
7944731,0.2000,0.0000,0.0873,-0.60,0.0666,8.06,9.0013,9.5994,0.0666,8.06,15.25,-0.00,15.22,-0.01,-9.07,-1.40
7947852,0.2000,0.0000,0.1718,-0.60,7.9248,8.06,9.0013,9.5994,0.0666,8.06,15.25,-0.00,15.22,-0.01,-9.07,-1.40
7963290,0.2000,0.0000,0.1718,-0.68,7.9248,8.06,7.8353,10.7654,7.9248,8.06,15.25,-0.00,15.23,-0.02,-0.39,-2.23
7966263,0.2000,0.0000,0.1718,-0.68,7.9248,8.06,7.8353,10.7654,7.9248,8.06,15.25,-0.00,15.23,-0.02,-0.39,-2.23
8026890,0.2000,0.0000,0.1563,0.53,6.9906,7.55,10.2975,8.3032,6.9906,7.55,15.27,-0.02,15.25,-0.04,-2.93,-1.13
8029840,0.2000,0.0000,0.1563,0.26,6.9906,7.55,10.2975,8.3032,6.9906,7.55,15.27,-0.02,15.25,-0.04,-2.93,-1.13
8032692,0.2000,0.0000,0.1563,0.26,6.9906,7.55,10.2975,8.3032,6.9906,7.55,15.27,-0.02,15.25,-0.04,-2.93,-1.13
8048027,0.2000,0.0000,0.1563,0.11,6.9906,7.55,9.5028,9.0979,6.9906,7.55,15.28,-0.03,15.25,-0.04,-2.67,-1.39
8090541,0.2000,0.0000,0.1825,-0.16,8.6648,8.31,8.6677,9.9330,8.6648,8.31,15.28,-0.04,15.26,-0.05,-0.27,-1.36
8093551,0.2000,0.0000,0.1825,-0.16,8.6648,8.31,8.6677,9.9330,8.6648,8.31,15.28,-0.04,15.26,-0.05,-0.27,-1.36
8096443,0.2000,0.0000,0.1825,-0.16,8.6648,8.31,8.6677,9.9330,8.6648,8.31,15.28,-0.04,15.26,-0.05,-0.27,-1.36
8111750,0.2000,0.0000,0.1825,-0.02,8.6648,8.31,9.1804,9.4203,8.6648,8.31,15.29,-0.04,15.26,-0.06,-0.42,-1.20
8175459,0.2000,0.0000,0.1864,0.11,8.7979,8.54,9.4682,9.1325,8.7979,8.54,15.29,-0.05,15.27,-0.06,-0.60,-0.66
8178514,0.2000,0.0000,0.1905,0.11,8.7979,8.92,9.4682,9.1325,8.7979,8.54,15.29,-0.05,15.27,-0.06,-0.60,-0.66
8181364,0.2000,0.0000,0.1905,0.13,8.7979,8.92,9.4682,9.1325,8.7979,8.54,15.29,-0.05,15.27,-0.06,-0.60,-0.66
8196640,0.2000,0.0000,0.1905,-0.02,8.7979,8.92,9.2248,9.3759,8.7979,8.92,15.29,-0.05,15.27,-0.07,-0.49,-0.39
8242231,0.2000,0.0000,0.1926,0.11,8.8264,9.09,9.3146,9.2861,8.8264,9.09,15.30,-0.05,15.27,-0.07,-0.44,-0.25
8245097,0.2000,0.0000,0.1926,0.11,8.8264,9.09,9.3146,9.2861,8.8264,9.09,15.30,-0.05,15.27,-0.07,-0.44,-0.25
8260477,0.2000,0.0000,0.1926,0.31,8.8264,9.09,9.9221,8.6785,8.8264,9.09,15.30,-0.06,15.27,-0.07,-0.85,0.17
8263533,0.2000,0.0000,0.1902,0.31,8.6011,9.09,9.9221,8.6785,8.8264,9.09,15.30,-0.06,15.27,-0.07,-0.85,0.17
8326905,0.2000,0.0000,0.1992,-0.23,9.1785,9.35,8.8225,9.7782,9.1785,9.35,15.30,-0.06,15.27,-0.07,0.15,-0.22
8329802,0.2000,0.0000,0.1992,-0.11,9.1785,9.35,8.8225,9.7782,9.1785,9.35,15.30,-0.06,15.27,-0.07,0.15,-0.22
8345150,0.2000,0.0000,0.1992,-0.07,9.1785,9.35,9.1147,9.4860,9.1785,9.35,15.30,-0.06,15.27,-0.07,0.10,-0.17
8348117,0.2000,0.0000,0.1992,-0.12,9.1785,9.35,9.1147,9.4860,9.1785,9.35,15.30,-0.06,15.27,-0.07,0.10,-0.17
8387812,0.2000,0.0000,0.1931,0.11,9.0294,8.94,9.7384,8.8622,9.0294,8.94,15.30,-0.06,15.27,-0.07,-0.48,-0.15
