t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
10086657,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
10101924,0.25,0.00,0.00,-0.01,0.00,0.00,18.02,18.04,0.00,0.00,15.12,0.00,15.12,0.00,-11.39,-11.40
10104989,0.25,0.00,0.00,-0.01,0.00,0.00,18.02,18.04,0.00,0.00,15.12,0.00,15.12,0.00,-11.39,-11.40
10107901,0.25,0.00,0.00,-0.01,0.00,0.00,18.02,18.04,0.00,0.00,15.12,0.00,15.12,0.00,-11.39,-11.40
10123153,0.25,0.00,0.00,-0.03,0.00,0.00,18.00,18.06,0.00,0.00,15.24,0.00,15.24,0.00,-15.57,-15.61
10126195,0.25,0.00,0.00,-0.03,0.00,0.00,18.00,18.06,0.00,0.00,15.24,0.00,15.24,0.00,-15.57,-15.61
10139707,0.25,0.00,0.00,-0.05,0.05,0.05,18.00,18.06,0.05,0.05,15.36,-0.00,15.37,-0.00,-17.06,-17.11
10144511,0.25,0.00,0.00,-0.05,0.05,0.05,17.96,18.05,0.05,0.05,15.36,-0.00,15.37,-0.00,-17.06,-17.11
10160962,0.25,0.00,0.00,0.03,0.05,0.05,17.96,18.05,0.05,0.05,15.49,-0.00,15.50,-0.00,-17.59,-17.67
10165731,0.25,0.00,0.00,0.03,0.05,0.05,18.03,17.98,0.05,0.05,15.49,-0.00,15.50,-0.00,-17.59,-17.67
10168646,0.25,0.00,0.16,0.03,15.10,0.05,18.03,17.98,0.05,0.05,15.49,-0.00,15.50,-0.00,-17.59,-17.67
10182145,0.25,0.00,0.32,-0.12,15.10,14.96,18.03,17.98,15.10,14.96,15.51,-0.02,15.52,-0.02,-2.79,-2.93
10224820,0.25,0.00,0.38,-1.07,17.42,18.36,7.17,9.66,17.42,18.36,15.44,0.09,15.44,0.10,8.18,7.49
10229450,0.25,0.00,0.38,-0.69,17.42,18.36,7.77,9.07,17.42,18.36,15.44,0.09,15.44,0.10,8.18,7.49
10243010,0.25,0.00,0.33,-0.25,12.61,18.36,7.77,9.07,12.61,18.36,15.42,0.12,15.38,0.17,4.30,8.63
10246096,0.25,0.00,0.33,-0.25,12.61,18.36,7.77,9.07,12.61,18.36,15.42,0.12,15.38,0.17,4.30,8.63
10303934,0.25,0.00,0.20,-0.06,8.98,9.68,12.96,13.07,8.98,11.05,15.41,0.12,15.38,0.17,-2.72,-0.33
10306860,0.25,0.00,0.20,-0.35,8.98,9.68,12.96,13.07,8.98,11.05,15.41,0.12,15.38,0.17,-2.72,-0.33
10320344,0.25,0.00,0.20,-0.40,8.98,9.68,12.96,13.07,8.98,9.68,15.43,0.11,15.40,0.16,-3.52,-2.77
10325144,0.25,0.00,0.20,-0.40,8.98,9.68,12.64,13.39,8.98,9.68,15.43,0.11,15.40,0.16,-3.52,-2.77
10381197,0.25,0.00,0.24,-0.04,11.52,10.53,11.45,12.76,11.52,10.53,15.45,0.09,15.44,0.12,-0.16,-2.31
10384272,0.25,0.00,0.24,-0.04,11.52,10.53,11.45,12.76,11.52,10.53,15.45,0.09,15.44,0.12,-0.16,-2.31
10389037,0.25,0.00,0.24,-0.14,12.07,10.53,11.83,12.09,11.52,10.53,15.45,0.09,15.44,0.12,-0.16,-2.31
10402623,0.25,0.00,0.25,-0.18,12.07,11.47,11.83,12.09,12.07,11.47,15.44,0.09,15.44,0.11,0.30,-0.90
10445454,0.25,0.00,0.26,-0.15,12.41,12.08,11.47,11.76,12.41,12.08,15.43,0.10,15.44,0.11,0.88,0.21
10458994,0.25,0.00,0.26,-0.04,12.41,12.08,11.47,11.76,12.41,12.08,15.43,0.10,15.44,0.11,0.92,0.28
10463791,0.25,0.00,0.26,-0.04,12.41,12.08,11.42,11.48,12.41,12.08,15.43,0.10,15.44,0.11,0.92,0.28
10466709,0.25,0.00,0.26,0.06,12.41,12.08,11.42,11.48,12.41,12.08,15.43,0.10,15.44,0.11,0.92,0.28
10519822,0.25,0.00,0.26,-0.22,11.98,12.08,11.51,11.69,11.98,12.08,15.42,0.11,15.43,0.12,0.44,0.44
10522878,0.25,0.00,0.26,-0.22,11.98,12.08,11.51,11.69,11.98,12.08,15.42,0.11,15.43,0.12,0.44,0.44
10538116,0.25,0.00,0.25,-0.22,11.98,11.32,11.57,11.97,11.98,11.32,15.42,0.11,15.43,0.12,0.42,-0.53
10541193,0.25,0.00,0.25,-0.22,11.98,11.32,11.57,11.97,11.98,11.32,15.42,0.11,15.43,0.12,0.42,-0.53
10597206,0.25,0.00,0.25,-0.12,11.98,11.74,11.63,11.69,11.98,11.74,15.41,0.12,15.44,0.12,0.35,-0.03
10602088,0.25,0.00,0.25,-0.12,11.98,11.74,11.54,11.77,11.98,11.74,15.41,0.12,15.44,0.12,0.35,-0.03
10605048,0.25,0.00,0.26,-0.28,12.42,11.74,11.54,11.77,11.98,11.74,15.41,0.12,15.44,0.12,0.35,-0.03
10618578,0.25,0.00,0.26,-0.32,12.42,11.74,11.54,11.77,12.42,11.74,15.40,0.12,15.44,0.11,0.84,-0.03
10661200,0.25,0.00,0.26,-0.21,12.76,11.84,11.24,11.79,12.76,11.84,15.38,0.14,15.43,0.12,1.48,0.04
10676477,0.25,0.00,0.26,-0.07,12.76,11.69,11.31,11.61,12.76,11.69,15.37,0.15,15.43,0.12,1.46,0.01
10679560,0.25,0.00,0.26,-0.07,12.76,11.69,11.31,11.61,12.76,11.69,15.37,0.15,15.43,0.12,1.46,0.01
10682453,0.25,0.00,0.26,-0.07,12.76,11.69,11.31,11.61,12.76,11.69,15.37,0.15,15.43,0.12,1.46,0.01
10740217,0.25,0.00,0.26,0.16,11.51,12.26,11.79,11.50,11.51,12.26,15.36,0.16,15.42,0.13,-0.06,0.83
10743097,0.25,0.00,0.26,0.16,11.51,12.26,11.79,11.50,11.51,12.26,15.36,0.16,15.42,0.13,-0.06,0.83
10756574,0.25,0.00,0.25,-0.23,11.51,11.68,11.79,11.50,11.51,11.68,15.37,0.16,15.42,0.13,-0.20,0.20
10761385,0.25,0.00,0.25,-0.23,11.51,11.68,11.59,12.01,11.51,11.68,15.37,0.16,15.42,0.13,-0.20,0.20
10814555,0.25,0.00,0.25,0.02,11.86,11.37,11.74,11.84,11.86,11.37,15.36,0.16,15.42,0.12,0.19,-0.49
10817600,0.25,0.00,0.25,0.02,11.86,11.37,11.74,11.84,11.86,11.37,15.36,0.16,15.42,0.12,0.19,-0.49
10820506,0.25,0.00,0.25,0.02,11.86,11.37,11.74,11.84,11.86,11.37,15.36,0.16,15.42,0.12,0.19,-0.49
10835705,0.25,0.00,0.25,-0.05,11.71,11.37,11.85,11.81,11.71,11.37,15.36,0.16,15.43,0.12,-0.07,-0.46
10894731,0.25,0.00,0.25,-0.16,11.69,12.00,11.61,11.85,11.69,12.00,15.36,0.16,15.43,0.12,0.03,0.18
