t:0.04, r:25.00, omega:0.00, omega_m:15.80, u:438.74, theta1:17.550, theta2:0.000, e:-15.803
t:0.05, r:25.00, omega:0.00, omega_m:21.62, u:439.42, theta1:17.577, theta2:0.000, e:-21.617
t:0.06, r:25.00, omega:34.04, omega_m:23.76, u:438.50, theta1:17.564, theta2:0.018, e:10.287
t:0.07, r:25.00, omega:34.04, omega_m:24.54, u:437.65, theta1:17.552, theta2:0.034, e:9.500
t:0.08, r:25.00, omega:34.04, omega_m:24.83, u:436.83, theta1:17.541, theta2:0.049, e:9.210
t:0.09, r:25.00, omega:19.85, omega_m:24.94, u:437.79, theta1:17.547, theta2:0.044, e:-5.093
t:0.10, r:25.00, omega:19.85, omega_m:24.98, u:438.05, theta1:17.553, theta2:0.039, e:-5.132
t:0.11, r:25.00, omega:26.62, omega_m:24.99, u:437.68, theta1:17.551, theta2:0.041, e:1.626
t:0.12, r:25.00, omega:26.62, omega_m:25.00, u:437.57, theta1:17.549, theta2:0.044, e:1.621
t:0.13, r:25.00, omega:28.62, omega_m:25.00, u:437.22, theta1:17.545, theta2:0.049, e:3.622
t:0.14, r:25.00, omega:32.98, omega_m:25.00, u:436.33, theta1:17.535, theta2:0.062, e:7.985
t:0.15, r:25.00, omega:32.98, omega_m:25.00, u:435.64, theta1:17.525, theta2:0.075, e:7.985
t:0.16, r:25.00, omega:31.46, omega_m:25.00, u:435.24, theta1:17.517, theta2:0.085, e:6.461
t:0.17, r:25.00, omega:30.67, omega_m:25.00, u:434.86, theta1:17.510, theta2:0.094, e:5.666
t:0.18, r:25.00, omega:30.67, omega_m:25.00, u:434.42, theta1:17.503, theta2:0.103, e:5.666
t:0.19, r:25.00, omega:30.54, omega_m:25.00, u:434.00, theta1:17.496, theta2:0.111, e:5.536
t:0.20, r:25.00, omega:30.54, omega_m:25.00, u:433.57, theta1:17.489, theta2:0.119, e:5.536
t:0.21, r:25.00, omega:31.72, omega_m:25.00, u:432.88, theta1:17.480, theta2:0.130, e:6.722
t:0.22, r:25.00, omega:32.07, omega_m:25.00, u:432.25, theta1:17.471, theta2:0.141, e:7.071
t:0.23, r:25.00, omega:32.07, omega_m:25.00, u:431.66, theta1:17.463, theta2:0.153, e:7.071
t:0.24, r:25.00, omega:31.70, omega_m:25.00, u:431.17, theta1:17.454, theta2:0.163, e:6.701
t:0.25, r:25.00, omega:31.70, omega_m:25.00, u:430.63, theta1:17.446, theta2:0.174, e:6.701
