t:0.04, r:25.00, omega:0.00, omega_m:15.80, u:438.67, theta1:17.547, theta2:0.000, e:-15.803
t:0.05, r:25.00, omega:0.00, omega_m:21.62, u:439.26, theta1:17.570, theta2:0.000, e:-21.617
t:0.06, r:25.00, omega:20.29, omega_m:23.76, u:436.73, theta1:17.542, theta2:0.042, e:19.539
t:0.07, r:25.00, omega:20.29, omega_m:24.54, u:434.30, theta1:17.516, theta2:0.083, e:18.752
t:0.08, r:25.00, omega:19.63, omega_m:24.83, u:436.50, theta1:17.521, theta2:0.078, e:-5.200
t:0.09, r:25.00, omega:19.63, omega_m:24.94, u:436.75, theta1:17.527, theta2:0.073, e:-5.306
t:0.10, r:25.00, omega:19.63, omega_m:24.98, u:437.00, theta1:17.533, theta2:0.067, e:-5.345
t:0.11, r:25.00, omega:25.05, omega_m:24.99, u:436.63, theta1:17.533, theta2:0.067, e:0.062
t:0.12, r:25.00, omega:28.50, omega_m:25.00, u:436.13, theta1:17.528, theta2:0.072, e:3.504
t:0.13, r:25.00, omega:28.50, omega_m:25.00, u:435.86, theta1:17.523, theta2:0.077, e:3.503
t:0.14, r:25.00, omega:33.02, omega_m:25.00, u:434.79, theta1:17.511, theta2:0.091, e:8.025
t:0.15, r:25.00, omega:33.02, omega_m:25.00, u:434.06, theta1:17.500, theta2:0.104, e:8.024
t:0.16, r:25.00, omega:31.11, omega_m:25.00, u:433.75, theta1:17.491, theta2:0.113, e:6.115
t:0.17, r:25.00, omega:29.73, omega_m:25.00, u:433.53, theta1:17.484, theta2:0.120, e:4.735
t:0.18, r:25.00, omega:29.73, omega_m:25.00, u:433.15, theta1:17.478, theta2:0.127, e:4.735
t:0.19, r:25.00, omega:29.48, omega_m:25.00, u:432.83, theta1:17.471, theta2:0.134, e:4.482
t:0.20, r:25.00, omega:29.48, omega_m:25.00, u:432.47, theta1:17.465, theta2:0.141, e:4.482
t:0.21, r:25.00, omega:31.77, omega_m:25.00, u:431.57, theta1:17.455, theta2:0.151, e:6.772
t:0.22, r:25.00, omega:31.77, omega_m:25.00, u:430.99, theta1:17.445, theta2:0.162, e:6.772
t:0.23, r:25.00, omega:30.66, omega_m:25.00, u:430.70, theta1:17.437, theta2:0.171, e:5.665
t:0.24, r:25.00, omega:29.16, omega_m:25.00, u:430.63, theta1:17.431, theta2:0.177, e:4.158
t:0.25, r:25.00, omega:29.16, omega_m:25.00, u:430.30, theta1:17.426, theta2:0.183, e:4.158
t:0.26, r:25.00, omega:30.30, omega_m:25.00, u:429.66, theta1:17.418, theta2:0.191, e:5.304
t:0.27, r:25.00, omega:30.30, omega_m:25.00, u:429.23, theta1:17.410, theta2:0.199, e:5.304
t:0.28, r:25.00, omega:30.94, omega_m:25.00, u:428.61, theta1:17.402, theta2:0.208, e:5.942
t:0.29, r:25.00, omega:30.80, omega_m:25.00, u:428.16, theta1:17.394, theta2:0.217, e:5.800
t:0.30, r:25.00, omega:30.80, omega_m:25.00, u:427.68, theta1:17.385, theta2:0.226, e:5.800
t:0.31, r:25.00, omega:30.72, omega_m:25.00, u:427.22, theta1:17.377, theta2:0.235, e:5.715
t:0.32, r:25.00, omega:30.72, omega_m:25.00, u:426.75, theta1:17.369, theta2:0.244, e:5.715
t:0.33, r:25.00, omega:30.81, omega_m:25.00, u:426.24, theta1:17.361, theta2:0.252, e:5.813
t:0.34, r:25.00, omega:30.81, omega_m:25.00, u:425.76, theta1:17.353, theta2:0.261, e:5.813
t:0.35, r:25.00, omega:30.53, omega_m:25.00, u:425.38, theta1:17.345, theta2:0.270, e:5.534
t:0.36, r:25.00, omega:30.32, omega_m:25.00, u:425.00, theta1:17.337, theta2:0.278, e:5.322
t:0.37, r:25.00, omega:30.32, omega_m:25.00, u:424.57, theta1:17.330, theta2:0.286, e:5.322
t:0.38, r:25.00, omega:30.06, omega_m:25.00, u:424.24, theta1:17.322, theta2:0.294, e:5.057
t:0.39, r:25.00, omega:30.06, omega_m:25.00, u:423.83, theta1:17.315, theta2:0.301, e:5.057
t:0.40, r:25.00, omega:29.73, omega_m:25.00, u:423.55, theta1:17.308, theta2:0.308, e:4.728
t:0.41, r:25.00, omega:31.44, omega_m:25.00, u:422.48, theta1:17.299, theta2:0.318, e:6.444
t:0.42, r:25.00, omega:31.44, omega_m:25.00, u:421.93, theta1:17.290, theta2:0.328, e:6.444
t:0.43, r:25.00, omega:32.08, omega_m:25.00, u:421.10, theta1:17.280, theta2:0.340, e:7.081
t:0.44, r:25.00, omega:32.08, omega_m:25.00, u:420.49, theta1:17.270, theta2:0.351, e:7.081
t:0.45, r:25.00, omega:29.24, omega_m:25.00, u:421.15, theta1:17.264, theta2:0.357, e:4.242
t:0.46, r:25.00, omega:29.24, omega_m:25.00, u:420.82, theta1:17.258, theta2:0.363, e:4.242
t:0.47, r:25.00, omega:29.58, omega_m:25.00, u:420.33, theta1:17.251, theta2:0.370, e:4.584
