t:0.04, r:10.00, omega:0.00, omega_m:6.32, u:175.32, theta1:17.532, theta2:0.000, e:-6.321
t:0.05, r:10.00, omega:0.00, omega_m:8.65, u:175.35, theta1:17.535, theta2:0.000, e:-8.647
t:0.06, r:10.00, omega:0.00, omega_m:9.50, u:175.38, theta1:17.538, theta2:0.000, e:-9.502
t:0.07, r:10.00, omega:0.00, omega_m:9.82, u:175.41, theta1:17.541, theta2:0.000, e:-9.817
t:0.08, r:10.00, omega:0.00, omega_m:9.93, u:175.44, theta1:17.544, theta2:0.000, e:-9.933
t:0.09, r:10.00, omega:0.00, omega_m:9.98, u:175.48, theta1:17.548, theta2:0.000, e:-9.975
t:0.10, r:10.00, omega:0.00, omega_m:9.99, u:175.51, theta1:17.551, theta2:0.000, e:-9.991
t:0.11, r:10.00, omega:7.55, omega_m:10.00, u:175.52, theta1:17.552, theta2:-0.001, e:-2.449
t:0.12, r:10.00, omega:7.55, omega_m:10.00, u:175.54, theta1:17.552, theta2:-0.002, e:-2.451
t:0.13, r:10.00, omega:7.55, omega_m:10.00, u:175.55, theta1:17.553, theta2:-0.003, e:-2.452
t:0.14, r:10.00, omega:7.55, omega_m:10.00, u:175.57, theta1:17.554, theta2:-0.004, e:-2.452
t:0.15, r:10.00, omega:7.55, omega_m:10.00, u:175.58, theta1:17.555, theta2:-0.005, e:-2.452
t:0.16, r:10.00, omega:11.03, omega_m:10.00, u:175.59, theta1:17.554, theta2:-0.004, e:1.031
t:0.17, r:10.00, omega:11.03, omega_m:10.00, u:175.57, theta1:17.553, theta2:-0.003, e:1.031
t:0.18, r:10.00, omega:11.03, omega_m:10.00, u:175.56, theta1:17.553, theta2:-0.003, e:1.031
t:0.19, r:10.00, omega:11.03, omega_m:10.00, u:175.55, theta1:17.552, theta2:-0.002, e:1.031
t:0.20, r:10.00, omega:11.03, omega_m:10.00, u:175.53, theta1:17.551, theta2:-0.002, e:1.031
t:0.21, r:10.00, omega:10.62, omega_m:10.00, u:175.52, theta1:17.551, theta2:-0.001, e:0.617
t:0.22, r:10.00, omega:10.62, omega_m:10.00, u:175.52, theta1:17.550, theta2:-0.001, e:0.617
t:0.23, r:10.00, omega:10.62, omega_m:10.00, u:175.51, theta1:17.550, theta2:-0.001, e:0.617
t:0.24, r:10.00, omega:10.62, omega_m:10.00, u:175.50, theta1:17.550, theta2:-0.000, e:0.617
t:0.25, r:10.00, omega:12.32, omega_m:10.00, u:175.47, theta1:17.548, theta2:0.001, e:2.316
t:0.26, r:10.00, omega:12.32, omega_m:10.00, u:175.44, theta1:17.547, theta2:0.002, e:2.316
t:0.27, r:10.00, omega:12.32, omega_m:10.00, u:175.40, theta1:17.545, theta2:0.004, e:2.316
t:0.28, r:10.00, omega:12.32, omega_m:10.00, u:175.37, theta1:17.543, theta2:0.005, e:2.316
t:0.29, r:10.00, omega:12.32, omega_m:10.00, u:175.34, theta1:17.542, theta2:0.007, e:2.316
t:0.30, r:10.00, omega:10.70, omega_m:10.00, u:175.34, theta1:17.541, theta2:0.007, e:0.701
t:0.31, r:10.00, omega:10.70, omega_m:10.00, u:175.33, theta1:17.541, theta2:0.007, e:0.701
t:0.32, r:10.00, omega:10.70, omega_m:10.00, u:175.32, theta1:17.540, theta2:0.008, e:0.701
t:0.33, r:10.00, omega:10.70, omega_m:10.00, u:175.31, theta1:17.540, theta2:0.008, e:0.701
t:0.34, r:10.00, omega:10.70, omega_m:10.00, u:175.30, theta1:17.539, theta2:0.009, e:0.701
t:0.35, r:10.00, omega:11.12, omega_m:10.00, u:175.29, theta1:17.539, theta2:0.009, e:1.117
t:0.36, r:10.00, omega:11.12, omega_m:10.00, u:175.27, theta1:17.538, theta2:0.010, e:1.117
t:0.37, r:10.00, omega:11.12, omega_m:10.00, u:175.26, theta1:17.537, theta2:0.010, e:1.117
t:0.38, r:10.00, omega:11.12, omega_m:10.00, u:175.24, theta1:17.536, theta2:0.011, e:1.117
t:0.39, r:10.00, omega:11.88, omega_m:10.00, u:175.21, theta1:17.535, theta2:0.012, e:1.881
t:0.40, r:10.00, omega:11.88, omega_m:10.00, u:175.18, theta1:17.534, theta2:0.013, e:1.881
t:0.41, r:10.00, omega:11.88, omega_m:10.00, u:175.16, theta1:17.533, theta2:0.014, e:1.881
t:0.42, r:10.00, omega:11.88, omega_m:10.00, u:175.13, theta1:17.531, theta2:0.015, e:1.881
t:0.43, r:10.00, omega:11.88, omega_m:10.00, u:175.10, theta1:17.530, theta2:0.017, e:1.881
t:0.44, r:10.00, omega:10.90, omega_m:10.00, u:175.11, theta1:17.529, theta2:0.017, e:0.904
t:0.45, r:10.00, omega:10.90, omega_m:10.00, u:175.10, theta1:17.529, theta2:0.018, e:0.904
t:0.46, r:10.00, omega:10.90, omega_m:10.00, u:175.09, theta1:17.528, theta2:0.018, e:0.904
t:0.47, r:10.00, omega:10.90, omega_m:10.00, u:175.07, theta1:17.528, theta2:0.019, e:0.904
t:0.48, r:10.00, omega:10.90, omega_m:10.00, u:175.06, theta1:17.527, theta2:0.019, e:0.904
t:0.49, r:10.00, omega:10.68, omega_m:10.00, u:175.06, theta1:17.527, theta2:0.019, e:0.675
t:0.50, r:10.00, omega:10.68, omega_m:10.00, u:175.05, theta1:17.526, theta2:0.020, e:0.675
t:0.51, r:10.00, omega:10.68, omega_m:10.00, u:175.04, theta1:17.526, theta2:0.020, e:0.675
t:0.52, r:10.00, omega:10.68, omega_m:10.00, u:175.03, theta1:17.525, theta2:0.021, e:0.675
t:0.53, r:10.00, omega:10.68, omega_m:10.00, u:175.02, theta1:17.525, theta2:0.021, e:0.675
t:0.54, r:10.00, omega:11.40, omega_m:10.00, u:174.99, theta1:17.524, theta2:0.022, e:1.401
t:0.55, r:10.00, omega:11.40, omega_m:10.00, u:174.97, theta1:17.523, theta2:0.022, e:1.401
t:0.56, r:10.00, omega:11.40, omega_m:10.00, u:174.95, theta1:17.522, theta2:0.023, e:1.401
t:0.57, r:10.00, omega:11.40, omega_m:10.00, u:174.94, theta1:17.521, theta2:0.024, e:1.401
t:0.58, r:10.00, omega:11.22, omega_m:10.00, u:174.92, theta1:17.520, theta2:0.025, e:1.218
t:0.59, r:10.00, omega:11.22, omega_m:10.00, u:174.91, theta1:17.519, theta2:0.025, e:1.218
t:0.60, r:10.00, omega:11.22, omega_m:10.00, u:174.89, theta1:17.519, theta2:0.026, e:1.218
t:0.61, r:10.00, omega:11.22, omega_m:10.00, u:174.88, theta1:17.518, theta2:0.027, e:1.218
t:0.62, r:10.00, omega:11.22, omega_m:10.00, u:174.86, theta1:17.517, theta2:0.027, e:1.218
t:0.63, r:10.00, omega:10.95, omega_m:10.00, u:174.86, theta1:17.516, theta2:0.028, e:0.948
t:0.64, r:10.00, omega:10.95, omega_m:10.00, u:174.84, theta1:17.516, theta2:0.029, e:0.948
t:0.65, r:10.00, omega:10.95, omega_m:10.00, u:174.83, theta1:17.515, theta2:0.029, e:0.948
t:0.66, r:10.00, omega:10.95, omega_m:10.00, u:174.82, theta1:17.514, theta2:0.030, e:0.948
t:0.67, r:10.00, omega:10.95, omega_m:10.00, u:174.81, theta1:17.514, theta2:0.030, e:0.948
t:0.68, r:10.00, omega:10.91, omega_m:10.00, u:174.80, theta1:17.513, theta2:0.031, e:0.912
t:0.69, r:10.00, omega:10.91, omega_m:10.00, u:174.79, theta1:17.512, theta2:0.031, e:0.912
t:0.70, r:10.00, omega:10.91, omega_m:10.00, u:174.77, theta1:17.512, theta2:0.032, e:0.912
t:0.71, r:10.00, omega:10.91, omega_m:10.00, u:174.76, theta1:17.511, theta2:0.032, e:0.912
t:0.72, r:10.00, omega:11.65, omega_m:10.00, u:174.72, theta1:17.510, theta2:0.033, e:1.646
t:0.73, r:10.00, omega:11.65, omega_m:10.00, u:174.69, theta1:17.509, theta2:0.034, e:1.646
t:0.74, r:10.00, omega:11.65, omega_m:10.00, u:174.67, theta1:17.508, theta2:0.035, e:1.646
t:0.75, r:10.00, omega:11.65, omega_m:10.00, u:174.65, theta1:17.507, theta2:0.036, e:1.646
t:0.76, r:10.00, omega:11.65, omega_m:10.00, u:174.63, theta1:17.506, theta2:0.037, e:1.646
t:0.77, r:10.00, omega:10.95, omega_m:10.00, u:174.64, theta1:17.505, theta2:0.037, e:0.949
t:0.78, r:10.00, omega:10.95, omega_m:10.00, u:174.63, theta1:17.504, theta2:0.038, e:0.949
t:0.79, r:10.00, omega:10.95, omega_m:10.00, u:174.62, theta1:17.504, theta2:0.038, e:0.949
t:0.80, r:10.00, omega:10.95, omega_m:10.00, u:174.60, theta1:17.503, theta2:0.039, e:0.949
t:0.81, r:10.00, omega:10.95, omega_m:10.00, u:174.59, theta1:17.502, theta2:0.039, e:0.949
t:0.82, r:10.00, omega:10.56, omega_m:10.00, u:174.60, theta1:17.502, theta2:0.040, e:0.564
t:0.83, r:10.00, omega:10.56, omega_m:10.00, u:174.59, theta1:17.502, theta2:0.040, e:0.564
t:0.84, r:10.00, omega:10.56, omega_m:10.00, u:174.59, theta1:17.501, theta2:0.040, e:0.564
t:0.85, r:10.00, omega:10.56, omega_m:10.00, u:174.58, theta1:17.501, theta2:0.041, e:0.564
t:0.86, r:10.00, omega:10.56, omega_m:10.00, u:174.57, theta1:17.501, theta2:0.041, e:0.564
t:0.87, r:10.00, omega:11.20, omega_m:10.00, u:174.53, theta1:17.500, theta2:0.042, e:1.202
t:0.88, r:10.00, omega:11.20, omega_m:10.00, u:174.52, theta1:17.499, theta2:0.042, e:1.202
t:0.89, r:10.00, omega:11.20, omega_m:10.00, u:174.50, theta1:17.498, theta2:0.043, e:1.202
t:0.90, r:10.00, omega:11.20, omega_m:10.00, u:174.48, theta1:17.497, theta2:0.044, e:1.202
t:0.91, r:10.00, omega:11.20, omega_m:10.00, u:174.47, theta1:17.496, theta2:0.044, e:1.202
t:0.92, r:10.00, omega:11.17, omega_m:10.00, u:174.46, theta1:17.496, theta2:0.045, e:1.167
t:0.93, r:10.00, omega:11.17, omega_m:10.00, u:174.44, theta1:17.495, theta2:0.046, e:1.167
t:0.94, r:10.00, omega:11.17, omega_m:10.00, u:174.42, theta1:17.494, theta2:0.046, e:1.167
t:0.95, r:10.00, omega:11.17, omega_m:10.00, u:174.41, theta1:17.493, theta2:0.047, e:1.167
t:0.96, r:10.00, omega:11.15, omega_m:10.00, u:174.40, theta1:17.493, theta2:0.048, e:1.147
t:0.97, r:10.00, omega:11.15, omega_m:10.00, u:174.38, theta1:17.492, theta2:0.048, e:1.147
t:0.98, r:10.00, omega:11.15, omega_m:10.00, u:174.37, theta1:17.491, theta2:0.049, e:1.147
t:0.99, r:10.00, omega:11.15, omega_m:10.00, u:174.35, theta1:17.490, theta2:0.049, e:1.147
t:1.00, r:10.00, omega:11.15, omega_m:10.00, u:174.34, theta1:17.489, theta2:0.050, e:1.147
t:1.01, r:0.00, omega:11.58, omega_m:3.68, u:0.00, theta1:17.488, theta2:0.055, e:7.901
t:1.02, r:0.00, omega:11.58, omega_m:1.35, u:0.00, theta1:17.486, theta2:0.061, e:10.227
t:1.03, r:0.00, omega:11.58, omega_m:0.50, u:0.00, theta1:17.484, theta2:0.067, e:11.082
t:1.04, r:0.00, omega:11.58, omega_m:0.18, u:0.00, theta1:17.482, theta2:0.074, e:11.397
