t:5.04, r:0.00, omega:19.13, omega_m:11.23, u:0.00, theta1:18.012, theta2:2.139, e:7.895
t:5.05, r:0.00, omega:19.13, omega_m:9.20, u:0.00, theta1:18.012, theta2:2.148, e:9.931
t:5.06, r:0.00, omega:19.13, omega_m:7.53, u:0.00, theta1:18.012, theta2:2.159, e:11.598
t:5.07, r:0.00, omega:19.13, omega_m:6.16, u:0.00, theta1:18.012, theta2:2.172, e:12.963
t:5.08, r:0.00, omega:19.13, omega_m:5.05, u:0.00, theta1:18.012, theta2:2.185, e:14.081
t:5.09, r:0.00, omega:19.13, omega_m:4.13, u:0.00, theta1:18.012, theta2:2.200, e:14.996
t:5.10, r:0.00, omega:19.13, omega_m:3.38, u:0.00, theta1:18.012, theta2:2.215, e:15.745
t:5.11, r:0.00, omega:19.13, omega_m:2.77, u:0.00, theta1:18.012, theta2:2.230, e:16.358
t:5.12, r:0.00, omega:19.13, omega_m:2.27, u:0.00, theta1:18.012, theta2:2.246, e:16.860
t:5.13, r:0.00, omega:19.13, omega_m:1.86, u:0.00, theta1:18.012, theta2:2.263, e:17.271
t:5.14, r:0.00, omega:19.13, omega_m:1.52, u:0.00, theta1:18.012, theta2:2.280, e:17.608
t:5.15, r:0.00, omega:19.13, omega_m:1.24, u:0.00, theta1:18.012, theta2:2.297, e:17.884
t:5.16, r:0.00, omega:19.13, omega_m:1.02, u:0.00, theta1:18.012, theta2:2.314, e:18.109
t:5.17, r:0.00, omega:19.13, omega_m:0.83, u:0.00, theta1:18.012, theta2:2.332, e:18.294
t:5.18, r:0.00, omega:19.13, omega_m:0.68, u:0.00, theta1:18.012, theta2:2.349, e:18.445
t:5.19, r:0.00, omega:19.13, omega_m:0.56, u:0.00, theta1:18.012, theta2:2.367, e:18.569
t:5.20, r:0.00, omega:19.13, omega_m:0.46, u:0.00, theta1:18.012, theta2:2.385, e:18.670
t:5.21, r:0.00, omega:19.13, omega_m:0.37, u:0.00, theta1:18.012, theta2:2.403, e:18.753
t:5.22, r:0.00, omega:19.13, omega_m:0.31, u:0.00, theta1:18.012, theta2:2.421, e:18.821
t:5.23, r:0.00, omega:19.13, omega_m:0.25, u:0.00, theta1:18.012, theta2:2.439, e:18.877
t:5.24, r:0.00, omega:19.13, omega_m:0.21, u:0.00, theta1:18.012, theta2:2.457, e:18.923
t:5.25, r:0.00, omega:19.13, omega_m:0.17, u:0.00, theta1:18.012, theta2:2.475, e:18.960
t:5.26, r:0.00, omega:19.13, omega_m:0.14, u:0.00, theta1:18.012, theta2:2.493, e:18.990
t:5.27, r:0.00, omega:19.13, omega_m:0.11, u:0.00, theta1:18.012, theta2:2.511, e:19.015
t:5.28, r:0.00, omega:19.13, omega_m:0.09, u:0.00, theta1:18.012, theta2:2.530, e:19.036
t:5.29, r:0.00, omega:19.13, omega_m:0.08, u:0.00, theta1:18.012, theta2:2.548, e:19.053
t:5.30, r:0.00, omega:19.13, omega_m:0.06, u:0.00, theta1:18.012, theta2:2.566, e:19.066
t:5.31, r:0.00, omega:19.13, omega_m:0.05, u:0.00, theta1:18.012, theta2:2.584, e:19.078
t:5.32, r:0.00, omega:19.13, omega_m:0.04, u:0.00, theta1:18.012, theta2:2.603, e:19.087
t:5.33, r:0.00, omega:19.13, omega_m:0.03, u:0.00, theta1:18.012, theta2:2.621, e:19.094
t:5.34, r:0.00, omega:19.13, omega_m:0.03, u:0.00, theta1:18.012, theta2:2.639, e:19.100
t:5.35, r:0.00, omega:19.13, omega_m:0.02, u:0.00, theta1:18.012, theta2:2.657, e:19.105
t:5.36, r:0.00, omega:19.13, omega_m:0.02, u:0.00, theta1:18.012, theta2:2.676, e:19.110
t:5.37, r:0.00, omega:19.13, omega_m:0.02, u:0.00, theta1:18.012, theta2:2.694, e:19.113
t:5.38, r:0.00, omega:19.13, omega_m:0.01, u:0.00, theta1:18.012, theta2:2.712, e:19.116
t:5.39, r:0.00, omega:19.13, omega_m:0.01, u:0.00, theta1:18.012, theta2:2.731, e:19.118
t:5.40, r:0.00, omega:19.13, omega_m:0.01, u:0.00, theta1:18.012, theta2:2.749, e:19.120
