t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
11419205,0.00,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
11429243,0.10,0.00,0.00,-0.02,0.00,0.00,7.20,7.23,0.00,0.00,15.04,0.00,15.04,0.00,-4.55,-4.57
11439003,0.10,0.00,0.00,-0.02,0.00,0.00,7.20,7.23,0.00,0.00,15.04,0.00,15.04,0.00,-4.55,-4.57
11449218,0.10,0.00,0.00,-0.04,0.00,0.00,7.17,7.25,0.00,0.00,15.06,0.00,15.06,0.00,-6.21,-6.27
11459203,0.10,0.00,0.00,-0.25,0.00,0.00,6.98,7.44,0.00,0.00,15.07,0.00,15.07,0.00,-6.70,-7.01
11469308,0.10,0.00,0.00,-0.33,0.00,0.05,6.89,7.51,0.00,0.05,15.08,0.00,15.09,-0.00,-6.82,-7.28
11479007,0.10,0.00,0.00,-0.53,0.00,0.05,6.71,7.69,0.00,0.05,15.08,0.00,15.09,-0.00,-6.82,-7.28
11489215,0.10,0.00,0.00,-0.41,0.00,0.05,6.81,7.59,0.00,0.05,15.10,0.00,15.11,-0.00,-6.82,-7.45
11499195,0.10,0.00,0.00,-0.17,0.00,0.05,7.05,7.36,0.00,0.05,15.11,0.00,15.12,-0.00,-6.96,-7.36
11509215,0.10,0.00,0.00,-0.18,0.00,0.05,7.03,7.37,0.00,0.05,15.12,0.00,15.14,-0.00,-7.01,-7.34
11519195,0.10,0.00,0.00,-0.20,0.00,0.05,7.01,7.39,0.00,0.05,15.14,0.00,15.15,-0.00,-7.01,-7.34
11549294,0.10,0.00,0.00,-0.36,0.05,0.05,6.86,7.52,0.05,0.05,15.18,-0.00,15.20,-0.00,-6.84,-7.46
11559007,0.10,0.00,0.00,-0.14,0.05,0.05,7.06,7.32,0.05,0.05,15.18,-0.00,15.20,-0.00,-6.84,-7.46
11569222,0.10,0.00,0.00,0.00,0.05,0.05,7.19,7.19,0.05,0.05,15.19,-0.00,15.22,-0.00,-7.03,-7.26
11579289,0.10,0.00,0.05,0.13,0.05,4.88,6.10,5.86,0.05,4.88,15.20,-0.00,15.22,-0.01,-6.41,-1.52
11609215,0.10,0.00,0.05,-0.35,0.05,4.88,5.65,6.31,0.05,4.88,15.22,-0.00,15.22,-0.01,-5.77,-1.39
11619195,0.10,0.00,0.05,-0.55,0.05,4.88,5.46,6.50,0.05,4.88,15.23,-0.00,15.23,-0.02,-5.55,-1.54
11629215,0.10,0.00,0.05,-0.38,0.05,4.88,5.63,6.34,0.05,4.88,15.23,-0.00,15.23,-0.02,-5.57,-1.49
11639195,0.10,0.00,0.05,-0.12,0.05,4.88,5.87,6.09,0.05,4.88,15.24,-0.00,15.23,-0.02,-5.73,-1.31
11689218,0.10,0.00,0.10,-0.24,5.29,4.88,4.45,4.89,5.29,4.88,15.24,0.00,15.23,-0.02,0.64,0.06
11699003,0.10,0.00,0.10,-0.20,5.29,4.88,4.48,4.86,5.29,4.88,15.24,0.00,15.23,-0.02,0.64,0.06
11709286,0.10,0.00,0.09,0.07,5.29,3.95,4.97,4.83,5.29,3.95,15.23,0.00,15.23,-0.02,0.44,-0.87
11719007,0.10,0.00,0.09,0.06,5.29,3.95,4.96,4.84,5.29,3.95,15.23,0.00,15.23,-0.02,0.44,-0.87
11759195,0.10,0.00,0.09,-0.48,5.29,3.95,4.45,5.35,5.29,3.95,15.23,0.01,15.24,-0.03,0.72,-1.27
