t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
14958419,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
14988433,0.30,0.00,0.00,-0.01,0.00,0.00,25.97,25.99,390.90,391.22,15.05,0.00,15.05,0.00,-16.42,-16.43
15015028,0.30,0.00,0.00,-0.64,0.00,0.00,24.87,27.09,374.88,408.59,15.08,0.00,15.08,0.00,-21.76,-23.17
15045203,0.30,0.00,0.24,-0.88,0.03,22.73,14.06,17.13,212.44,258.68,15.11,0.00,15.11,0.00,-17.58,2.47
15085658,0.30,0.00,0.45,-0.86,19.13,22.73,5.37,8.38,80.91,126.07,15.10,0.01,15.10,0.02,10.08,10.71
15115740,0.30,0.00,0.41,0.62,19.13,18.88,9.71,7.55,145.91,113.24,15.09,0.04,15.09,0.04,10.52,10.53
15155981,0.30,0.00,0.23,0.29,10.63,10.89,16.66,15.66,251.09,235.70,15.09,0.04,15.08,0.05,-3.33,-1.90
15186165,0.30,0.00,0.22,-0.78,9.65,10.89,15.25,17.97,229.96,270.65,15.10,0.03,15.09,0.04,-5.75,-5.84
15226717,0.30,0.00,0.34,0.02,15.08,16.30,14.62,14.68,220.47,220.89,15.10,0.03,15.09,0.04,0.20,0.58
15256842,0.30,0.00,0.33,0.19,14.82,16.30,12.11,11.45,182.47,172.10,15.10,0.03,15.09,0.04,1.75,3.52
15297191,0.30,0.00,0.30,-0.01,13.71,14.15,13.25,13.28,199.64,199.74,15.10,0.03,15.09,0.05,0.75,1.36
15327324,0.30,0.00,0.30,0.12,13.71,14.15,13.47,13.06,203.00,196.31,15.10,0.03,15.09,0.05,0.36,1.07
15367783,0.30,0.00,0.30,-0.40,14.09,13.46,13.29,14.65,200.18,220.33,15.10,0.03,15.09,0.05,0.75,-0.60
15397893,0.30,0.00,0.30,-0.54,14.09,13.55,12.42,14.31,187.09,215.29,15.10,0.03,15.09,0.05,1.34,-0.81
15438292,0.30,0.00,0.32,-0.04,14.57,14.95,12.44,12.57,187.30,188.88,15.09,0.04,15.08,0.05,2.09,1.74
15468407,0.30,0.00,0.31,-0.51,13.73,14.81,12.59,13.33,189.42,200.20,15.09,0.04,15.08,0.05,1.19,1.68
15508714,0.30,0.00,0.30,-0.14,13.54,14.27,12.98,13.61,195.29,204.41,15.09,0.04,15.08,0.05,0.71,0.79
15538817,0.30,0.00,0.29,0.03,13.12,13.55,13.85,13.78,208.43,207.03,15.09,0.04,15.08,0.05,-0.38,-0.15
15579228,0.30,0.00,0.28,0.19,12.62,13.65,14.84,13.15,223.48,197.59,15.09,0.04,15.08,0.05,-1.81,0.28
15609416,0.30,0.00,0.30,0.40,14.43,13.58,13.80,12.60,207.74,189.25,15.09,0.04,15.08,0.05,0.30,0.75
15649743,0.30,0.00,0.31,0.07,15.08,13.77,12.95,12.69,194.81,190.54,15.09,0.04,15.08,0.06,1.77,1.08
15679978,0.00,0.00,0.29,-0.24,13.97,12.92,0.00,0.00,0.00,0.00,15.09,0.05,15.08,0.06,9.16,8.25
15720215,0.00,0.00,0.29,0.84,13.97,12.92,0.00,0.00,0.00,0.00,15.08,0.06,15.07,0.08,13.32,12.28
15750233,0.00,0.00,0.29,-0.07,13.97,12.92,0.00,0.00,0.00,0.00,15.08,0.08,15.07,0.09,13.88,12.83
15790569,0.00,0.00,0.09,0.50,13.97,-5.18,0.00,0.00,0.00,0.00,15.08,0.10,15.07,0.10,13.96,-5.20
15820702,0.00,0.00,0.09,0.22,13.97,-5.18,0.00,0.00,0.00,0.00,15.07,0.12,15.06,0.11,13.97,-5.19
15861049,0.00,0.00,0.09,-0.44,13.97,-5.18,0.00,0.00,0.00,0.00,15.07,0.14,15.06,0.11,13.97,-5.18
15891238,0.00,0.00,0.09,-0.32,13.97,-5.62,0.00,0.00,0.00,0.00,15.06,0.16,15.06,0.11,13.97,-5.62
15931613,0.00,0.00,0.09,-0.10,13.97,-5.62,0.00,0.00,0.00,0.00,15.06,0.18,15.06,0.11,13.97,-5.62
15961730,0.00,0.00,0.09,-0.09,13.97,-5.62,0.00,0.00,0.00,0.00,15.05,0.20,15.06,0.12,13.97,-5.62
16002001,-0.30,0.00,0.09,-0.10,13.97,-5.62,-29.97,-29.61,-455.71,-445.61,15.10,0.23,15.07,0.12,32.91,13.09
16032302,-0.30,0.00,-0.08,0.61,-1.46,-5.62,-21.68,-23.81,-328.57,-359.48,15.17,0.26,15.12,0.10,21.78,18.85
16058904,-0.30,0.00,-0.24,0.60,-19.38,-2.99,-14.72,-16.83,-218.28,-254.29,15.17,0.26,15.13,0.10,-1.53,16.65
16089419,-0.30,0.00,-0.44,0.44,-20.45,-20.92,-6.33,-7.87,-90.32,-116.65,15.16,0.27,15.12,0.12,-10.61,-9.38
16116049,-0.30,0.00,-0.40,-0.15,-20.45,-16.54,-9.69,-8.50,-141.08,-126.56,15.15,0.29,15.12,0.12,-10.71,-6.92
16146415,-0.30,0.00,-0.30,-0.35,-11.61,-16.54,-14.33,-11.93,-213.85,-178.14,15.15,0.29,15.11,0.13,1.02,-5.72
16172902,-0.30,0.00,-0.23,0.48,-11.61,-9.70,-15.42,-17.09,-230.34,-257.06,15.16,0.28,15.11,0.13,2.78,5.08
16203131,-0.30,0.00,-0.21,1.04,-9.92,-9.70,-15.21,-18.85,-227.80,-283.86,15.16,0.28,15.13,0.12,5.23,8.19
16243863,-0.30,0.00,-0.30,0.36,-13.35,-14.76,-11.84,-14.47,-175.87,-217.21,15.17,0.28,15.13,0.12,-0.28,1.19
16274244,-0.30,0.00,-0.32,-0.37,-14.97,-14.76,-12.81,-12.02,-190.06,-180.10,15.16,0.28,15.13,0.12,-2.35,-1.64
16300760,-0.30,0.00,-0.31,-0.03,-13.69,-15.33,-12.80,-12.68,-190.22,-190.03,15.16,0.28,15.13,0.12,-0.95,-2.48
16331129,-0.30,0.00,-0.29,-0.02,-13.56,-13.88,-13.43,-13.37,-199.77,-200.59,15.16,0.28,15.13,0.12,-0.37,-0.74
16357688,-0.30,0.00,-0.28,0.28,-13.56,-12.81,-13.45,-14.45,-200.11,-217.04,15.16,0.28,15.13,0.12,-0.20,1.16
16388006,-0.30,0.00,-0.29,0.48,-13.99,-12.81,-12.90,-14.60,-191.66,-219.39,15.16,0.28,15.13,0.12,-0.90,1.67
16414567,-0.30,0.00,-0.29,0.73,-14.24,-12.64,-12.55,-14.87,-186.21,-223.59,15.16,0.28,15.13,0.12,-1.49,2.09
16444933,-0.30,0.00,-0.29,-0.05,-13.46,-13.07,-13.59,-13.44,-202.19,-201.96,15.16,0.29,15.13,0.12,-0.22,0.88
16471481,-0.30,0.00,-0.29,-0.25,-13.46,-13.07,-14.32,-13.43,-213.14,-201.80,15.16,0.28,15.13,0.11,0.46,0.56
16501676,-0.30,0.00,-0.29,0.39,-13.36,-13.42,-13.08,-14.44,-194.46,-217.04,15.16,0.28,15.13,0.11,0.12,0.68
16528207,-0.30,0.00,-0.29,0.63,-14.55,-12.80,-12.39,-14.61,-183.63,-219.60,15.15,0.29,15.14,0.11,-1.76,1.62
16558584,-0.30,0.00,-0.29,0.34,-13.66,-13.76,-12.86,-14.07,-190.98,-211.39,15.15,0.29,15.14,0.11,-0.92,0.48
16585104,-0.30,0.00,-0.29,-0.01,-13.66,-13.76,-13.49,-13.44,-200.49,-201.88,15.15,0.29,15.14,0.11,-0.45,-0.03
16615433,-0.30,0.00,-0.29,0.03,-13.48,-13.33,-13.69,-13.80,-203.59,-207.40,15.15,0.29,15.14,0.11,0.10,0.38
16642083,-0.30,0.00,-0.32,0.23,-14.91,-14.64,-12.35,-12.65,-182.76,-189.75,15.15,0.29,15.14,0.11,-2.11,-1.60
16672601,-0.30,0.00,-0.28,0.30,-13.51,-12.69,-12.62,-13.64,-187.30,-205.02,15.15,0.29,15.13,0.11,-0.93,0.64
16699165,0.00,0.00,-0.28,0.17,-13.51,-12.69,0.00,0.00,0.00,0.00,15.15,0.30,15.13,0.12,-8.88,-7.79
16729346,0.00,0.00,-0.28,0.28,-13.30,-12.71,0.00,0.00,0.00,0.00,15.14,0.31,15.13,0.13,-12.67,-12.04
16769736,0.00,0.00,-0.28,0.24,-13.30,-12.71,0.00,0.00,0.00,0.00,15.14,0.33,15.13,0.15,-13.21,-12.62
16799915,0.00,0.00,-0.28,-0.22,-13.30,-12.71,0.00,0.00,0.00,0.00,15.13,0.35,15.12,0.17,-13.28,-12.69
16840299,0.00,0.00,-0.28,0.24,-13.30,-12.71,0.00,0.00,0.00,0.00,15.13,0.37,15.12,0.18,-13.29,-12.71
16870498,0.00,0.00,-0.28,0.13,-13.30,-12.71,0.00,0.00,0.00,0.00,15.13,0.38,15.11,0.20,-13.30,-12.71
16910851,0.00,0.00,-0.28,0.19,-13.30,-12.71,0.00,0.00,0.00,0.00,15.12,0.40,15.11,0.21,-13.30,-12.71
16941045,0.00,0.00,-0.28,-0.11,-13.30,-12.71,0.00,0.00,0.00,0.00,15.12,0.42,15.11,0.23,-13.30,-12.71
16981422,0.00,0.00,-0.28,0.04,-13.30,-12.71,0.00,0.00,0.00,0.00,15.11,0.44,15.10,0.25,-13.30,-12.71
17011710,0.25,-2.50,-0.28,0.00,-13.30,-12.71,42.43,24.59,650.91,375.49,15.19,0.47,15.13,0.27,-40.12,-28.25
17052091,0.25,-2.50,0.03,-1.04,1.56,1.57,27.32,13.11,417.93,198.50,15.33,0.50,15.18,0.29,-29.20,-14.54
17082310,0.25,-2.50,0.53,-1.57,31.94,17.60,5.22,-7.14,62.79,-113.77,15.31,0.54,15.19,0.31,18.12,16.88
17122776,0.25,-2.50,0.47,-2.40,26.10,17.60,6.42,-3.01,82.98,-51.81,15.30,0.59,15.19,0.34,18.96,21.06
17152950,0.25,-2.50,0.31,-3.08,10.80,17.60,12.22,5.16,180.19,71.77,15.29,0.61,15.18,0.38,0.61,15.50
17193284,0.25,-2.50,0.31,-2.08,10.80,17.60,13.97,3.41,207.04,44.68,15.29,0.61,15.17,0.40,-2.26,13.96
17223404,0.25,-2.50,0.28,-2.47,8.64,17.60,14.27,5.08,212.94,69.63,15.29,0.61,15.16,0.42,-5.39,13.10
17263746,0.25,-2.50,0.32,-3.19,12.42,17.60,11.29,4.61,165.16,62.02,15.30,0.60,15.15,0.45,0.07,12.89
17293804,0.25,-2.50,0.33,-3.28,13.45,17.60,10.66,4.30,154.91,56.87,15.29,0.60,15.14,0.47,2.41,13.17
17334119,0.25,-2.50,0.32,-2.72,12.20,17.60,12.21,3.89,179.39,50.15,15.29,0.61,15.13,0.49,0.51,13.54
17364135,0.25,-2.50,0.32,-2.19,12.20,17.60,13.13,2.97,193.41,35.82,15.29,0.61,15.12,0.52,-0.52,14.27
17404479,0.25,-2.50,0.15,-2.56,11.91,1.78,19.84,10.95,296.39,164.75,15.30,0.60,15.13,0.52,-5.41,-6.28
17434618,0.25,-2.50,0.15,-2.66,12.49,1.78,19.40,10.87,289.49,163.63,15.31,0.59,15.13,0.51,-6.73,-8.73
17474987,0.25,-2.50,0.27,-2.61,19.66,5.31,14.60,5.91,211.72,86.67,15.31,0.60,15.14,0.51,3.32,-2.37
17505176,0.25,-2.50,0.27,-2.77,19.70,5.31,14.31,6.16,206.92,90.46,15.30,0.61,15.14,0.51,5.05,-0.99
17545606,0.25,-2.50,0.26,-2.65,16.76,7.59,14.81,6.26,216.24,90.82,15.29,0.61,15.14,0.51,2.09,1.35
17575669,0.25,-2.50,0.24,-2.82,14.86,7.59,15.38,7.42,226.08,108.46,15.29,0.61,15.14,0.51,-0.29,0.60
17616027,0.25,-2.50,0.24,-2.68,14.37,7.59,15.85,7.40,233.61,108.12,15.29,0.61,15.14,0.51,-1.28,0.24
17646172,0.25,-2.50,0.37,-2.52,26.50,7.59,10.36,1.82,140.72,23.61,15.27,0.66,15.14,0.51,14.15,3.72
17686605,0.25,-2.50,0.21,-2.34,14.52,4.59,17.31,8.54,254.20,126.89,15.26,0.68,15.14,0.51,-0.50,-1.75
17716834,0.25,-2.50,0.21,-2.30,14.52,4.59,18.41,7.44,271.16,110.20,15.26,0.68,15.14,0.51,-3.18,-2.95
17757203,0.25,-2.50,0.24,-2.37,16.71,5.34,16.39,6.78,238.93,99.84,15.26,0.67,15.14,0.51,-0.33,-1.69
17787414,0.25,-2.50,0.25,-3.28,17.72,5.34,15.61,6.63,226.36,97.70,15.26,0.67,15.14,0.51,1.73,-1.38
17827815,0.25,-2.50,0.24,-2.70,17.16,5.34,15.57,7.19,225.91,106.12,15.26,0.68,15.14,0.51,1.53,-1.65
17858004,0.25,-2.50,0.21,-2.91,14.88,5.06,16.38,8.72,239.89,129.45,15.26,0.68,15.14,0.51,-1.22,-3.08
17898490,0.25,-2.50,0.24,-2.09,17.05,5.06,16.82,6.29,245.18,92.69,15.26,0.68,15.14,0.51,0.43,-2.05
17928775,0.25,-2.50,0.25,-2.01,16.11,6.87,17.38,6.59,254.38,97.30,15.26,0.68,15.14,0.51,-1.04,-1.54
17969216,0.25,-2.50,0.26,-2.71,17.65,6.87,14.63,6.29,211.25,91.71,15.26,0.68,15.14,0.51,2.04,0.47
17999261,0.25,-2.50,0.25,-2.64,16.67,6.87,14.75,6.16,213.66,89.84,15.25,0.68,15.14,0.51,1.83,0.64
18039656,0.25,-2.50,0.22,-2.39,14.99,5.36,17.09,7.62,250.50,112.64,15.25,0.68,15.14,0.51,-1.25,-1.73
18069854,0.25,-2.50,0.23,-2.48,16.24,5.36,16.37,7.21,238.62,106.47,15.26,0.68,15.14,0.51,-0.28,-1.92
18110238,0.25,-2.50,0.23,-2.77,16.18,5.36,15.89,7.74,231.45,114.51,15.26,0.68,15.14,0.50,0.09,-2.19
18140437,0.25,-2.50,0.22,-2.24,15.69,5.24,17.10,7.10,250.20,104.82,15.26,0.68,15.14,0.50,-0.99,-2.07
18180817,0.25,-2.50,0.23,-2.19,16.11,5.24,16.99,6.82,248.30,100.65,15.26,0.68,15.14,0.50,-0.86,-1.71
18210923,0.25,-2.50,0.25,-2.25,17.73,5.24,16.15,6.18,234.29,90.97,15.26,0.68,15.15,0.50,1.28,-1.20
18251354,0.25,-2.50,0.24,-2.41,16.73,5.94,16.00,6.60,232.74,96.99,15.25,0.68,15.15,0.50,0.63,-0.54
18281483,0.25,-2.50,0.25,-2.61,17.12,5.94,15.48,6.77,224.37,99.53,15.25,0.68,15.15,0.50,1.44,-0.75
18321875,0.25,-2.50,0.24,-2.58,16.31,5.79,15.96,7.16,232.29,105.56,15.25,0.68,15.15,0.50,0.50,-1.22
18352026,0.25,-2.50,0.24,-2.42,16.45,5.79,16.25,6.88,236.49,101.29,15.25,0.68,15.15,0.50,0.33,-1.18
18392383,0.25,-2.50,0.24,-2.88,16.48,5.79,15.26,7.72,221.33,114.02,15.25,0.69,15.15,0.50,0.88,-1.63
18422568,0.25,-2.50,0.22,-2.86,15.14,5.37,15.93,8.64,232.56,128.24,15.25,0.69,15.15,0.50,-0.59,-2.89
18463131,0.25,-2.50,0.23,-2.30,16.11,5.37,16.65,7.04,242.89,103.93,15.25,0.68,15.15,0.50,-0.25,-2.21
18493378,0.25,-2.50,0.24,-2.39,15.75,6.59,16.32,6.59,238.02,96.56,15.25,0.68,15.15,0.50,-0.65,-0.24
18533728,0.25,-2.50,0.25,-2.52,16.25,6.59,15.73,6.72,228.77,98.52,15.25,0.68,15.15,0.50,0.29,-0.11
18563876,0.25,-2.50,0.24,-2.57,15.28,6.59,16.10,7.23,235.05,106.33,15.25,0.68,15.15,0.50,-0.71,-0.45
18604220,0.25,-2.50,0.24,-2.83,16.43,6.00,15.38,7.44,223.35,109.73,15.25,0.68,15.15,0.49,0.79,-1.33
18634378,0.25,-2.50,0.24,-2.83,16.31,6.00,15.42,7.50,224.01,110.67,15.25,0.68,15.15,0.49,0.87,-1.46
18674718,0.25,-2.50,0.24,-2.21,16.13,6.46,16.40,6.28,238.93,92.04,15.25,0.69,15.15,0.49,0.08,-0.27
18704830,0.25,-2.50,0.24,-2.35,15.74,6.46,16.32,6.70,238.13,98.38,15.25,0.68,15.15,0.49,-0.56,-0.15
18745234,0.25,-2.50,0.24,-3.00,15.77,6.46,14.70,7.38,213.37,108.60,15.25,0.69,15.15,0.49,0.48,-0.66
18775421,0.25,-2.50,0.23,-2.33,15.77,5.52,16.77,7.09,244.88,104.71,15.25,0.69,15.15,0.49,-0.32,-1.64
18815751,0.25,-2.50,0.22,-2.18,15.39,5.52,17.21,7.00,251.96,103.32,15.25,0.68,15.15,0.49,-1.57,-1.52
18845949,0.25,-2.50,0.23,-2.54,15.56,5.67,16.51,7.57,241.16,111.91,15.25,0.68,15.15,0.49,-1.18,-1.70
18886350,0.25,-2.50,0.25,-2.57,17.40,5.67,15.54,6.70,225.13,98.78,15.25,0.68,15.15,0.49,1.47,-1.33
18916456,0.25,-2.50,0.23,-2.72,15.96,5.67,15.94,7.61,232.10,112.64,15.25,0.68,15.16,0.49,0.12,-1.65
18956855,0.25,-2.50,0.24,-2.51,16.17,6.00,16.07,7.00,233.92,103.10,15.25,0.68,15.16,0.49,0.16,-1.18
18987033,0.25,-2.50,0.23,-2.19,15.47,6.00,16.94,6.75,247.80,99.45,15.25,0.68,15.16,0.49,-1.14,-0.87
19027481,0.25,-2.50,0.24,-2.51,16.30,6.08,15.96,6.91,232.19,101.85,15.25,0.68,15.16,0.49,0.02,-0.79
19057648,0.25,-2.50,0.48,-2.57,38.54,6.08,5.71,-3.14,58.52,-50.50,15.24,0.74,15.16,0.49,29.02,5.52
19098002,0.25,-2.50,0.38,-2.60,29.36,6.08,9.85,1.10,126.34,13.70,15.21,0.80,15.16,0.49,20.51,6.04
19128023,0.25,-2.50,0.38,-1.85,29.36,6.08,10.31,0.64,131.34,6.76,15.19,0.86,15.15,0.50,19.35,5.41
19168408,0.25,-2.50,0.05,-1.70,8.70,-4.32,25.36,13.93,378.09,213.27,15.20,0.85,15.16,0.50,-11.08,-13.36
19198721,0.25,-2.50,0.19,-1.90,9.38,8.46,19.99,7.03,296.44,102.32,15.23,0.84,15.17,0.50,-11.83,-0.44
19239127,0.25,-2.50,0.31,-2.81,20.76,8.46,13.57,4.19,189.06,59.34,15.22,0.84,15.17,0.50,4.66,2.97
19269394,0.25,-2.50,0.30,-3.60,19.37,8.49,11.55,6.31,159.07,91.45,15.21,0.86,15.17,0.51,6.74,2.78
19309655,0.25,-2.50,0.24,-2.53,13.83,8.49,15.95,6.97,230.67,101.33,15.21,0.86,15.16,0.51,-0.65,1.85
19339687,0.25,-2.50,0.24,-1.63,13.83,8.49,17.53,5.39,254.76,77.38,15.21,0.86,15.16,0.51,-2.92,2.57
19380303,0.25,-2.50,0.22,-3.19,15.90,4.73,15.56,8.90,223.16,132.55,15.21,0.86,15.16,0.51,-0.28,-2.95
19410495,0.25,-2.50,0.22,-2.83,15.68,4.73,16.21,8.26,233.14,122.82,15.21,0.86,15.16,0.51,-0.38,-3.60
19450882,0.25,-2.50,0.22,-2.41,15.62,4.73,17.06,7.66,246.19,113.82,15.22,0.86,15.16,0.51,-1.11,-3.16
19481185,0.25,-2.50,0.23,-2.49,16.05,5.19,16.52,7.39,237.71,109.38,15.22,0.85,15.17,0.51,-0.63,-2.33
19521556,0.25,-2.50,0.24,-2.46,17.26,5.19,16.02,6.78,229.08,100.23,15.22,0.86,15.17,0.51,1.03,-1.83
19551800,0.00,0.00,0.25,-2.55,16.33,6.51,0.00,0.00,0.00,0.00,15.21,0.86,15.17,0.51,10.40,3.98
19592228,0.00,0.00,0.21,-2.36,12.75,6.51,0.00,0.00,0.00,0.00,15.21,0.88,15.16,0.51,11.95,6.17
19622386,0.00,0.00,0.21,-0.70,12.75,6.51,0.00,0.00,0.00,0.00,15.21,0.90,15.16,0.51,12.64,6.46
19662580,0.00,0.00,0.21,0.61,12.75,6.51,0.00,0.00,0.00,0.00,15.20,0.92,15.16,0.52,12.73,6.50
19692628,0.00,0.00,0.21,0.14,12.75,6.51,0.00,0.00,0.00,0.00,15.20,0.93,15.16,0.52,12.75,6.51
19732896,0.00,0.00,0.21,-0.13,12.75,6.51,0.00,0.00,0.00,0.00,15.19,0.95,15.16,0.53,12.75,6.51
19762952,0.00,0.00,0.21,-0.03,12.75,6.51,0.00,0.00,0.00,0.00,15.19,0.96,15.15,0.53,12.75,6.51
19803211,0.00,0.00,0.21,-0.04,12.75,6.51,0.00,0.00,0.00,0.00,15.19,0.98,15.15,0.53,12.75,6.51
19833273,0.00,0.00,0.21,-0.04,12.75,6.51,0.00,0.00,0.00,0.00,15.18,1.00,15.15,0.54,12.75,6.51
19873486,0.25,2.50,0.21,-0.04,12.75,6.51,3.87,21.85,45.82,327.64,15.18,1.01,15.16,0.54,10.30,-7.30
19903508,0.25,2.50,0.21,0.16,12.75,6.51,4.22,21.49,51.03,322.85,15.17,1.02,15.18,0.53,8.85,-14.03
19943875,0.25,2.50,0.15,4.01,12.75,1.42,12.28,18.08,173.14,274.25,15.16,1.03,15.21,0.53,3.48,-17.78
